source_file	source_family	source_block_id	block_kind	source_selector	source_topic	destination	action	precedence	audit_status	source_exists	source_resolved_path	destination_class	canonical_path	canonical_exists	chapter_status	next_action	global_disposition
exercise_4_solutions_1_.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	II/01	MIGRATE_EXERCISE	10	COVERED_BY_FALLBACK	YES	chapters/tex/exercise_4_solutions_1_.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch01_the_real_number_system_and_completeness/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
interpolation--math-alls-2.tex	SUPPORT	ARCHIVE.ALL	ENTIRE_FILE	*	all blocks	ARCHIVE_VARIANT	ARCHIVE_VARIANT	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/interpolation--math-alls-2.tex	ARCHIVE					ARCHIVE_ACCOUNTED
interpolation.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	interpolation|nodes|error	interpolation figure/example	II/20	SUPPORT_FIGURE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/interpolation.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch20_polynomial_interpolation/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
interpolation.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	II/20	SUPPORT_FIGURE	10	COVERED_BY_FALLBACK	YES	chapters/tex/interpolation.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch20_polynomial_interpolation/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
interpolation_all.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	interpolation|n=4|n=8|n=16	interpolation figure suite	II/20	SUPPORT_FIGURE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/interpolation_all.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch20_polynomial_interpolation/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
interpolation_all.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	II/20	SUPPORT_FIGURE	10	COVERED_BY_FALLBACK	YES	chapters/tex/interpolation_all.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch20_polynomial_interpolation/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
interpolation_n16.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	interpolation|n=16	interpolation n=16 figure	II/20	SUPPORT_FIGURE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/interpolation_n16.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch20_polynomial_interpolation/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
interpolation_n16.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	II/20	SUPPORT_FIGURE	10	COVERED_BY_FALLBACK	YES	chapters/tex/interpolation_n16.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch20_polynomial_interpolation/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
interpolation_n4.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	interpolation|n=4	interpolation n=4 figure	II/20	SUPPORT_FIGURE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/interpolation_n4.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch20_polynomial_interpolation/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
interpolation_n4.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	II/20	SUPPORT_FIGURE	10	COVERED_BY_FALLBACK	YES	chapters/tex/interpolation_n4.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch20_polynomial_interpolation/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
interpolation_n8.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	interpolation|n=8	interpolation n=8 figure	II/20	SUPPORT_FIGURE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/interpolation_n8.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch20_polynomial_interpolation/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
interpolation_n8.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	II/20	SUPPORT_FIGURE	10	COVERED_BY_FALLBACK	YES	chapters/tex/interpolation_n8.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch20_polynomial_interpolation/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
latex_embed_examples_3_5.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	Problems 3--5|quotient|lens space|Moore space	quotient/homology diagrams Problems 3-5	VIII/18	SUPPORT_FIGURE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/latex_embed_examples_3_5.tex	CANONICAL_CHAPTER	books/vol08_algebraic_topology/chapters/ch18_cellular_homology/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
latex_embed_examples_3_5.tex	SUPPORT	S02	SUPPORT_OR_EXERCISE	Moore space|homology groups	Moore space realization	VIII/25	SUPPORT_FIGURE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/latex_embed_examples_3_5.tex	CANONICAL_CHAPTER	books/vol08_algebraic_topology/chapters/ch25_homology_with_coefficients/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
latex_embed_examples_3_5.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	VIII/18	SUPPORT_FIGURE	10	COVERED_BY_FALLBACK	YES	chapters/tex/latex_embed_examples_3_5.tex	CANONICAL_CHAPTER	books/vol08_algebraic_topology/chapters/ch18_cellular_homology/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
merged_exercises.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_1_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_1_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_2_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_2_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_3_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_3_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_corrected.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_corrected.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_corrected_1_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_corrected_1_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_corrected_2_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_corrected_2_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_corrected_3_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_corrected_3_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_corrected_4_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_corrected_4_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_corrected_5_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_corrected_5_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_corrected_6_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_corrected_6_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_corrected_7_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_corrected_7_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_corrected_8_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_corrected_8_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_corrected_9_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_corrected_9_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_FULL.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_FULL.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_FULL_1_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_FULL_1_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_FULL_2_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_FULL_2_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_FULL_v2.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_FULL_v2.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_FULL_v2_1_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_FULL_v2_1_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_FULL_v2_2_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_FULL_v2_2_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
merged_exercises_FULL_v2_3_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/merged_exercises_FULL_v2_3_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
problems_9_10_visuals_embedded.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	Pairing and boundary|D^{k+1}|S^k	relative disk-sphere pairing	VIII/19	SUPPORT_FIGURE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/problems_9_10_visuals_embedded.tex	CANONICAL_CHAPTER	books/vol08_algebraic_topology/chapters/ch19_relative_homology_and_exact_sequences/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
problems_9_10_visuals_embedded.tex	SUPPORT	S02	SUPPORT_OR_EXERCISE	Annulus|connecting	annulus connecting map	VIII/28	SUPPORT_FIGURE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/problems_9_10_visuals_embedded.tex	CANONICAL_CHAPTER	books/vol08_algebraic_topology/chapters/ch28_cohomology/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
problems_9_10_visuals_embedded.tex	SUPPORT	S03	SUPPORT_OR_EXERCISE	Bockstein|RP^2	Bockstein RP2	VIII/25	SUPPORT_FIGURE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/problems_9_10_visuals_embedded.tex	CANONICAL_CHAPTER	books/vol08_algebraic_topology/chapters/ch25_homology_with_coefficients/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
problems_9_10_visuals_embedded.tex	SUPPORT	S04	SUPPORT_OR_EXERCISE	even versus odd|projective spaces	projective-space parity	VIII/33	SUPPORT_FIGURE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/problems_9_10_visuals_embedded.tex	CANONICAL_CHAPTER	books/vol08_algebraic_topology/chapters/ch33_poincar_duality/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
problems_9_10_visuals_embedded.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	VIII/19	SUPPORT_FIGURE	10	COVERED_BY_FALLBACK	YES	chapters/tex/problems_9_10_visuals_embedded.tex	CANONICAL_CHAPTER	books/vol08_algebraic_topology/chapters/ch19_relative_homology_and_exact_sequences/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
problems_9_10_visuals_snippet.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	pairing|Bockstein|projective	Problems 9-10 visual snippet	VIII/25	SUPPORT_FIGURE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/problems_9_10_visuals_snippet.tex	CANONICAL_CHAPTER	books/vol08_algebraic_topology/chapters/ch25_homology_with_coefficients/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
problems_9_10_visuals_snippet.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	VIII/25	SUPPORT_FIGURE	10	COVERED_BY_FALLBACK	YES	chapters/tex/problems_9_10_visuals_snippet.tex	CANONICAL_CHAPTER	books/vol08_algebraic_topology/chapters/ch25_homology_with_coefficients/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
sheaves_notes_reorganized.tex	SUPPORT	T01.SECTION	SECTION_OR_SUBSECTION	presheaf	presheaves	VI/12	PREFERRED_SOURCE	100	CURATED_TOPIC_MAP	YES	chapters/tex/sheaves_notes_reorganized.tex	CANONICAL_CHAPTER	books/vol06_algebraic_geometry/chapters/ch12_presheaves/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
sheaves_notes_reorganized.tex	SUPPORT	T02.SECTION	SECTION_OR_SUBSECTION	sheaf|stalk|germ	sheaves stalks germs	VI/13	PREFERRED_SOURCE	100	CURATED_TOPIC_MAP	YES	chapters/tex/sheaves_notes_reorganized.tex	CANONICAL_CHAPTER	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
sheaves_notes_reorganized.tex	SUPPORT	T03.SECTION	SECTION_OR_SUBSECTION	sheafification	sheafification	VI/14	PREFERRED_SOURCE	100	CURATED_TOPIC_MAP	YES	chapters/tex/sheaves_notes_reorganized.tex	CANONICAL_CHAPTER	books/vol06_algebraic_geometry/chapters/ch14_sheafification/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
sheaves_notes_reorganized.tex	SUPPORT	T04.SECTION	SECTION_OR_SUBSECTION	kernel|image|quotient	kernels images quotients	VI/15	PREFERRED_SOURCE	100	CURATED_TOPIC_MAP	YES	chapters/tex/sheaves_notes_reorganized.tex	CANONICAL_CHAPTER	books/vol06_algebraic_geometry/chapters/ch15_kernels_images_quotients/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
sheaves_notes_reorganized.tex	SUPPORT	T05.SECTION	SECTION_OR_SUBSECTION	exact|stalkwise	exactness stalkwise	VI/16	PREFERRED_SOURCE	100	CURATED_TOPIC_MAP	YES	chapters/tex/sheaves_notes_reorganized.tex	CANONICAL_CHAPTER	books/vol06_algebraic_geometry/chapters/ch16_exact_sequences_sheaves/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
sheaves_notes_reorganized.tex	SUPPORT	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(presheaf)	problem|exercise|solution|worked problem	VI/12	PREFERRED_SOURCE	90	EXHAUSTIVE_BY_INHERITANCE	YES	chapters/tex/sheaves_notes_reorganized.tex	CANONICAL_CHAPTER	books/vol06_algebraic_geometry/chapters/ch12_presheaves/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
sheaves_notes_reorganized.tex	SUPPORT	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(presheaf)	definition|theorem|lemma|proposition|corollary|remark|warning|example	VI/12	PREFERRED_SOURCE	90	EXHAUSTIVE_BY_INHERITANCE	YES	chapters/tex/sheaves_notes_reorganized.tex	CANONICAL_CHAPTER	books/vol06_algebraic_geometry/chapters/ch12_presheaves/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
sheaves_notes_reorganized.tex	SUPPORT	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(sheaf|stalk|germ)	problem|exercise|solution|worked problem	VI/13	PREFERRED_SOURCE	90	EXHAUSTIVE_BY_INHERITANCE	YES	chapters/tex/sheaves_notes_reorganized.tex	CANONICAL_CHAPTER	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
