source_file	source_family	source_block_id	block_kind	source_selector	source_title_or_pattern	destination	destination_title	action	precedence	coverage_rule	canonical_source	notes	audit_status
interpolation_all.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	interpolation|n=4|n=8|n=16	interpolation figure suite	II/20	Polynomial Interpolation	SUPPORT_FIGURE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
interpolation_all.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	II/20	Polynomial Interpolation	SUPPORT_FIGURE	10	FILE_FALLBACK	SUPPORT	Keep with mapped chapter assets/exercises unless an explicit selector overrides.	COVERED_BY_FALLBACK
interpolation_n16.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	interpolation|n=16	interpolation n=16 figure	II/20	Polynomial Interpolation	SUPPORT_FIGURE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
interpolation_n16.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	II/20	Polynomial Interpolation	SUPPORT_FIGURE	10	FILE_FALLBACK	SUPPORT	Keep with mapped chapter assets/exercises unless an explicit selector overrides.	COVERED_BY_FALLBACK
interpolation_n4.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	interpolation|n=4	interpolation n=4 figure	II/20	Polynomial Interpolation	SUPPORT_FIGURE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
interpolation_n4.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	II/20	Polynomial Interpolation	SUPPORT_FIGURE	10	FILE_FALLBACK	SUPPORT	Keep with mapped chapter assets/exercises unless an explicit selector overrides.	COVERED_BY_FALLBACK
interpolation_n8.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	interpolation|n=8	interpolation n=8 figure	II/20	Polynomial Interpolation	SUPPORT_FIGURE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
interpolation_n8.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	II/20	Polynomial Interpolation	SUPPORT_FIGURE	10	FILE_FALLBACK	SUPPORT	Keep with mapped chapter assets/exercises unless an explicit selector overrides.	COVERED_BY_FALLBACK
latex_embed_examples_3_5.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	Problems 3--5|quotient|lens space|Moore space	quotient/homology diagrams Problems 3-5	VIII/18	Cellular Homology	SUPPORT_FIGURE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
latex_embed_examples_3_5.tex	SUPPORT	S02	SUPPORT_OR_EXERCISE	Moore space|homology groups	Moore space realization	VIII/25	Homology with Coefficients	SUPPORT_FIGURE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
latex_embed_examples_3_5.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	VIII/18	Cellular Homology	SUPPORT_FIGURE	10	FILE_FALLBACK	SUPPORT	Keep with mapped chapter assets/exercises unless an explicit selector overrides.	COVERED_BY_FALLBACK
merged_exercises.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_1_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_2_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_3_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_1_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_2_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_3_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_4_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_5_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_6_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_7_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_8_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_9_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_FULL.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_FULL_1_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_FULL_2_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_FULL_v2.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_FULL_v2_1_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_FULL_v2_2_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_FULL_v2_3_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE.ALL	ENTIRE_FILE	*	all merged exercise blocks	ARCHIVE_SOURCE_ONLY	Archive — source-only lineage	ARCHIVE_SOURCE_ONLY	1000	WHOLE_FILE	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
problems_9_10_visuals_embedded.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	Pairing and boundary|D^{k+1}|S^k	relative disk-sphere pairing	VIII/19	Relative Homology and Exact Sequences	SUPPORT_FIGURE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
problems_9_10_visuals_embedded.tex	SUPPORT	S02	SUPPORT_OR_EXERCISE	Annulus|connecting	annulus connecting map	VIII/28	Cohomology	SUPPORT_FIGURE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
problems_9_10_visuals_embedded.tex	SUPPORT	S03	SUPPORT_OR_EXERCISE	Bockstein|RP^2	Bockstein RP2	VIII/25	Homology with Coefficients	SUPPORT_FIGURE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
problems_9_10_visuals_embedded.tex	SUPPORT	S04	SUPPORT_OR_EXERCISE	even versus odd|projective spaces	projective-space parity	VIII/33	Poincaré Duality	SUPPORT_FIGURE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
problems_9_10_visuals_embedded.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	VIII/19	Relative Homology and Exact Sequences	SUPPORT_FIGURE	10	FILE_FALLBACK	SUPPORT	Keep with mapped chapter assets/exercises unless an explicit selector overrides.	COVERED_BY_FALLBACK
problems_9_10_visuals_snippet.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	pairing|Bockstein|projective	Problems 9-10 visual snippet	VIII/25	Homology with Coefficients	SUPPORT_FIGURE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
problems_9_10_visuals_snippet.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	VIII/25	Homology with Coefficients	SUPPORT_FIGURE	10	FILE_FALLBACK	SUPPORT	Keep with mapped chapter assets/exercises unless an explicit selector overrides.	COVERED_BY_FALLBACK
sheaves_notes_reorganized.tex	SUPPORT	T01.SECTION	SECTION_OR_SUBSECTION	presheaf	presheaves	VI/12	Presheaves	PREFERRED_SOURCE	100	EXPLICIT_SELECTOR	YES	Preferred coherent sheaf-family source to compare against AG1/AG2; migrate unique pedagogy and proofs.	CURATED_TOPIC_MAP
sheaves_notes_reorganized.tex	SUPPORT	T02.SECTION	SECTION_OR_SUBSECTION	sheaf|stalk|germ	sheaves stalks germs	VI/13	Sheaves and Stalks	PREFERRED_SOURCE	100	EXPLICIT_SELECTOR	YES	Preferred coherent sheaf-family source to compare against AG1/AG2; migrate unique pedagogy and proofs.	CURATED_TOPIC_MAP
sheaves_notes_reorganized.tex	SUPPORT	T03.SECTION	SECTION_OR_SUBSECTION	sheafification	sheafification	VI/14	Sheafification	PREFERRED_SOURCE	100	EXPLICIT_SELECTOR	YES	Preferred coherent sheaf-family source to compare against AG1/AG2; migrate unique pedagogy and proofs.	CURATED_TOPIC_MAP
sheaves_notes_reorganized.tex	SUPPORT	T04.SECTION	SECTION_OR_SUBSECTION	kernel|image|quotient	kernels images quotients	VI/15	Kernels, Images and Quotients of Sheaves	PREFERRED_SOURCE	100	EXPLICIT_SELECTOR	YES	Preferred coherent sheaf-family source to compare against AG1/AG2; migrate unique pedagogy and proofs.	CURATED_TOPIC_MAP
sheaves_notes_reorganized.tex	SUPPORT	T05.SECTION	SECTION_OR_SUBSECTION	exact|stalkwise	exactness stalkwise	VI/16	Exact Sequences of Sheaves	PREFERRED_SOURCE	100	EXPLICIT_SELECTOR	YES	Preferred coherent sheaf-family source to compare against AG1/AG2; migrate unique pedagogy and proofs.	CURATED_TOPIC_MAP
sheaves_notes_reorganized.tex	SUPPORT	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(presheaf)	problem|exercise|solution|worked problem	VI/12	Presheaves	PREFERRED_SOURCE	90	INHERIT_FROM_MATCHED_SECTION	YES	All problem/exercise/solution blocks under the matched thematic section inherit this destination.	EXHAUSTIVE_BY_INHERITANCE
sheaves_notes_reorganized.tex	SUPPORT	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(presheaf)	definition|theorem|lemma|proposition|corollary|remark|warning|example	VI/12	Presheaves	PREFERRED_SOURCE	90	INHERIT_FROM_MATCHED_SECTION	YES	All theorem-like blocks under the matched thematic section inherit this destination.	EXHAUSTIVE_BY_INHERITANCE
sheaves_notes_reorganized.tex	SUPPORT	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(sheaf|stalk|germ)	problem|exercise|solution|worked problem	VI/13	Sheaves and Stalks	PREFERRED_SOURCE	90	INHERIT_FROM_MATCHED_SECTION	YES	All problem/exercise/solution blocks under the matched thematic section inherit this destination.	EXHAUSTIVE_BY_INHERITANCE
sheaves_notes_reorganized.tex	SUPPORT	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(sheaf|stalk|germ)	definition|theorem|lemma|proposition|corollary|remark|warning|example	VI/13	Sheaves and Stalks	PREFERRED_SOURCE	90	INHERIT_FROM_MATCHED_SECTION	YES	All theorem-like blocks under the matched thematic section inherit this destination.	EXHAUSTIVE_BY_INHERITANCE
sheaves_notes_reorganized.tex	SUPPORT	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(sheafification)	problem|exercise|solution|worked problem	VI/14	Sheafification	PREFERRED_SOURCE	90	INHERIT_FROM_MATCHED_SECTION	YES	All problem/exercise/solution blocks under the matched thematic section inherit this destination.	EXHAUSTIVE_BY_INHERITANCE
sheaves_notes_reorganized.tex	SUPPORT	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(sheafification)	definition|theorem|lemma|proposition|corollary|remark|warning|example	VI/14	Sheafification	PREFERRED_SOURCE	90	INHERIT_FROM_MATCHED_SECTION	YES	All theorem-like blocks under the matched thematic section inherit this destination.	EXHAUSTIVE_BY_INHERITANCE
sheaves_notes_reorganized.tex	SUPPORT	T04.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(kernel|image|quotient)	problem|exercise|solution|worked problem	VI/15	Kernels, Images and Quotients of Sheaves	PREFERRED_SOURCE	90	INHERIT_FROM_MATCHED_SECTION	YES	All problem/exercise/solution blocks under the matched thematic section inherit this destination.	EXHAUSTIVE_BY_INHERITANCE
sheaves_notes_reorganized.tex	SUPPORT	T04.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(kernel|image|quotient)	definition|theorem|lemma|proposition|corollary|remark|warning|example	VI/15	Kernels, Images and Quotients of Sheaves	PREFERRED_SOURCE	90	INHERIT_FROM_MATCHED_SECTION	YES	All theorem-like blocks under the matched thematic section inherit this destination.	EXHAUSTIVE_BY_INHERITANCE
sheaves_notes_reorganized.tex	SUPPORT	T05.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(exact|stalkwise)	problem|exercise|solution|worked problem	VI/16	Exact Sequences of Sheaves	PREFERRED_SOURCE	90	INHERIT_FROM_MATCHED_SECTION	YES	All problem/exercise/solution blocks under the matched thematic section inherit this destination.	EXHAUSTIVE_BY_INHERITANCE
sheaves_notes_reorganized.tex	SUPPORT	T05.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(exact|stalkwise)	definition|theorem|lemma|proposition|corollary|remark|warning|example	VI/16	Exact Sequences of Sheaves	PREFERRED_SOURCE	90	INHERIT_FROM_MATCHED_SECTION	YES	All theorem-like blocks under the matched thematic section inherit this destination.	EXHAUSTIVE_BY_INHERITANCE
