companion_problem_id	theme	solution_provenance	problem_scope	quality_status	correctness	completeness	pedagogy	priority	finding	required_action
CP-III-0011	Fourier Analysis	CANONICAL_AUTHORED	FIGURE_CONTEXT	A_STRONG	OK	COMPLETE_FOR_EXAMPLE	STRONG	P3	The change-of-variables proof of the translation phase and magnitude invariance is exactly proportionate to the short example.	Retain; restore a clearer example heading later.
CP-III-0012	Distribution Theory	CANONICAL_AUTHORED	SOURCE_DEFECT	A_STRONG	OK_CORRECTED	COMPLETE	STRONG	P3	Correctly rejects the source claim sin(x)/(1+x^2) in Schwartz and proves temperedness from L^1/local integrability instead.	Retain the correction; later remove the false sentence from the reader-facing problem.
CP-III-0013	Fourier Analysis	CANONICAL_AUTHORED	OVERMERGED	C_REWRITE	MOSTLY_OK	INCOMPLETE	WEAK	P1	Long Fourier/tempered-distribution amalgam; the short solution lists standard identities but does not work through the appended distribution theory or many embedded claims.	Re-segment or rewrite into matched subparts; replace 'remaining conclusions follow from standard...' style with actual derivations.
CP-III-0014	Fourier Analysis	CANONICAL_AUTHORED	OVERMERGED	C_REWRITE	PARTIAL_OK	INCOMPLETE	WEAK	P1	The solution handles the -phi''+phi=f Green-kernel portion but leaves the substantial radial Fourier examples (ball, Gaussian, Yukawa) essentially unsolved.	Split radial Fourier material into separate problems or derive every displayed transform explicitly.
CP-III-0015	Fourier Analysis	CANONICAL_AUTHORED	CLEAN_EXAMPLE	A_STRONG	OK	COMPLETE	STRONG	P3	Clean causal heat-kernel derivation by spatial Fourier transform and inversion.	Retain.
CP-III-0016	Measure and Integration	SOURCE_BACKED	OVERMERGED	C_REWRITE	MIXED	MOSTLY_COMPLETE	BLOATED	P1	Core p=1/Young/Holder/Minkowski chain is present, but the source-backed solution is extremely repetitive, mixes notes and examples with the requested proof, and is difficult to navigate.	Rewrite to follow parts (a)-(e) exactly once; keep one Young proof, one Holder normalization, one Minkowski derivation, and one controlled simple-to-general passage.
CP-III-0017	Measure and Integration	CANONICAL_AUTHORED	EXPOSITORY	B_POLISH	OK_WITH_GAP	MOSTLY_COMPLETE	ADEQUATE	P2	The duality proof is useful, but saying Minkowski is immediate for finite simple functions skips the finite-dimensional Minkowski step; two proof routes are mixed.	Choose one primary proof and explicitly show the finite-sum step if retaining the simple-function route.
CP-III-0018	Fourier Analysis	CANONICAL_AUTHORED	FIGURE_NARRATIVE	B_POLISH	OK	COMPLETE_FOR_NARRATIVE	ADEQUATE	P2	Accurately explains the figures, but functions as figure commentary rather than a worked mathematical solution.	Convert the statement into an explicit figure-interpretation task or add precise claims to prove.
CP-III-0019	Fourier Analysis	CANONICAL_AUTHORED	BLOATED_BUT_FRONT_TASK_CLEAR	A_STRONG	OK	COMPLETE_FOR_STATED_TASK	STRONG	P3	Directly derives the Schrodinger multiplier, K_t, convolution formula, and the L^1-to-L^infinity dispersive bound.	Retain; later trim unrelated extra Sobolev exposition from the problem body.
CP-III-0020	Distribution Theory	CANONICAL_AUTHORED	OVERMERGED	B_POLISH	MOSTLY_OK	MOSTLY_COMPLETE	ADEQUATE	P2	Coherently extracts three mechanisms from a long anthology, but the critical-singularity extension language is compressed and the three tasks should be separated.	Split into labeled subparts and qualify principal-value/finite-part extensions at critical singularities.
CP-III-0021	Measure and Integration	CANONICAL_AUTHORED	CLEAN_EXAMPLE	A_STRONG	OK	COMPLETE	STRONG	P3	Clearly verifies the three examples separating Baire category from Lebesgue measure.	Retain.
CP-III-0022	Fourier Analysis	CANONICAL_AUTHORED	CLEAN	A_STRONG	OK	COMPLETE	STRONG	P3	Fourier multiplier, Green kernel, convolution representation, and uniqueness are all aligned with the ODE.	Retain.
CP-III-0023	Fourier Analysis	SOURCE_BACKED	SOURCE_CORRECTED	A_STRONG	OK_CORRECTED	COMPLETE	STRONG	P3	Blocking defects repaired. Mean-value independence is now proved by periodicity plus the partition of unity, not by the invalid cutoff argument. The algebraic dual basis mu_j dot lambda_k=delta_jk is distinguished from the Fourier dual basis lambda_j^*=2pi mu_j, so Lambda^* is generated with the correct 2pi normalization. The proof also establishes that periodic distributions are tempered before taking Fourier transforms.	Retain; regression validator protects the partition-of-unity proof and 2pi dual-lattice normalization.
CP-III-0024	Distribution Theory	CANONICAL_AUTHORED	CLEAN	A_STRONG	OK	COMPLETE	STRONG	P3	Standard locally convex continuity argument is correct and the examples have valid Schwartz-seminorm bounds.	Retain.
CP-III-0025	Distribution Theory	CANONICAL_AUTHORED	FRAGMENT	B_POLISH	OK_ASSUMED_HYPOTHESES	COMPLETE_AFTER_ASSUMPTION	ADEQUATE	P2	The solution is correct once the standard mollifier assumptions phi in C_c^infinity, phi>=0, integral phi=1 are supplied, but the problem begins mid-fragment.	Restore the missing opening hypotheses in the problem statement; then retain the solution with minor polish.
