chapter	ordinal	label	title	source_line	hint_sha256	hint_words	own_solution_similarity	nearest_neighbor_solution_similarity	duplicate_hint_count	status	hint	notes
III/02	6	exr:iii02-06		258	a97319df5b0c15040d202e29c6f2dd9eb7ff1ecacdb0c0e825c0574b0b79029d	14	0.0000	0.0541	1	PASS	Almost-everywhere equality means the exceptional set has measure zero; identify that set explicitly.	-
III/02	7	exr:iii02-07		268	f5b0b9781a0d81efe5ae0cc717378589e2f05da06771e05b30bb6c52e8ba8c5d	20	0.0833	0.0571	1	PASS	To prove measurability of a supremum or infimum, rewrite the level set in terms of countably many measurable level sets.	-
III/02	8	exr:iii02-08		278	689355f53194a139d796b812611d89b045d02f51032af751fa0563ba6ac63c8e	19	0.0882	0.0263	1	PASS	For a composition, verify that the outer map is Borel measurable so inverse images remain in the sigma-algebra.	-
III/02	9	exr:iii02-expand-01	Indicator	295	5da43197e8888ea7bc52ed04504be6c8c297bcc18dce2daa6d515078e97b54ee	3	0.1000	0.0000	1	PASS	Inspect threshold sets.	-
III/02	10	exr:iii02-expand-02	Absolute value	305	1f7c1a29c9ff60fd8b6a10e7552a6f121eb87aa4b4e86771e647c9723200d139	5	0.0000	0.0000	1	PASS	Compose with a continuous map.	-
III/02	11	exr:iii02-expand-03	Maximum	315	2d004dcf8143b23f753a5b82466a7b9a4065a32eea3224a614130f739058b6e3	5	0.0000	0.0000	1	PASS	Use algebra and absolute value.	-
III/02	12	exr:iii02-expand-04	Pointwise limit	325	5ea36fb5e838fca494cf3a257272f938ce999a27fbcd8f84f0093358168fafe3	5	0.2500	0.0000	1	PASS	Use the pointwise limit theorem.	-
III/02	13	exr:iii02-expand-05	Simple range	335	ced383159ff7b6fca5df5ff201c0fd381360602de23f184327205d26ab9ceb6c	3	0.0000	0.0000	1	PASS	Recall the definition.	-
III/02	14	exr:iii02-expand-06	Ray criterion	347	83132a600df342a533d3420d950d3d75a648b2a0852eb1c35136bc47baf06144	6	0.0000	0.0000	1	PASS	Rays generate the Borel sigma-algebra.	-
III/02	15	exr:iii02-expand-07	Supremum	357	d127265cacb9fa89437b31d221b525eea708fb2665ec33a783e64cc8a13c45ae	7	0.2000	0.0000	1	PASS	Write a superlevel set as a union.	-
III/02	16	exr:iii02-expand-08	Limsup	367	987cf54c562c813cdc9700ae4ad6e39e44ac06c4e3a8da0265ca082d9de3ea95	6	0.0000	0.0000	1	PASS	Use tail suprema and countable infimum.	-
III/02	17	exr:iii02-expand-09	Simple approximation	377	8aa51435855ea81617c6c32de8d5358460a3285e4a7eb363b0cbdeae7e70abb7	6	0.0000	0.0000	1	PASS	Refine mesh and raise truncation level.	-
III/02	18	exr:iii02-expand-10	Nonmeasurable indicator	389	adce7eb1971fb628dd095a532858e634b2b3561c88211f005fd60bcdbf3e70ad	7	0.0000	0.0000	1	PASS	Use a threshold such as 1/2.	-
III/02	19	exr:iii02-expand-11	Incomplete null change	399	f06cc0cc385f19325302f710d29077e76d5cae97991e890668c89556e5bd6a5b	9	0.3333	0.1429	1	PASS	A subset of a null set can be nonmeasurable.	-
III/02	20	exr:iii02-expand-12	Pointwise intuition	409	681fc77146044e3a01cb8691ab6d072a06d53a9f8d27bed100f8950695cd3bad	9	0.1538	0.2500	1	PASS	Measurability concerns inverse images and the chosen sigma-algebra.	-
III/02	21	exr:iii02-expand-13	Random variables	421	0db9d71671208e922850e55b0e3880b558c1642390c3c8d01d7a925e72f3aca4	7	0.0909	0.0000	1	PASS	Events such as X<a need probabilities.	-
III/02	22	exr:iii02-expand-14	Quantization	431	3666752caa3ac04af6ca385f5a3257b042bb1a1c4cb7de53466832601a8eed93	8	0.1538	0.0769	1	PASS	They use finitely many values and measurable regions.	-
III/02	23	exr:iii02-expand-15	Composition	443	471cfcd0ac1a0b54fa43f1b8c3abfe82ce577b82a33df0597bb4b6225f5af3b3	3	0.0000	0.0000	1	PASS	Take inverse images.	-
III/02	24	exr:iii02-expand-16	Tail envelope	453	3b5fd930650a11b5d6eab02808c0b0bfe08daa0386b7a7a9728e6b324158fc0c	7	0.0000	0.0000	1	PASS	Removing early terms cannot raise a supremum.	-
III/03	1	exr:iii03-01		212	e31284b3e901c32675efa68f532d6f848e91d6ed850ab40889204c87317b1324	21	0.1562	0.0606	1	PASS	Start with the simple-function formula \(\int \sum a_k1_{E_k}=\sum a_k\mu(E_k)\) on disjoint pieces.	-
III/03	2	exr:iii03-02		222	a354469ad9a4095709c4670d3d83fa86014798c977a6a8bf1a8d22cd89ed9a9c	18	0.0857	0.0811	1	PASS	For a nonnegative function, choose an increasing sequence of simple functions and use the defining supremum/monotone limit.	-
III/03	3	exr:iii03-03		232	be224b1b9a4f4d6616c15ae8c2b0b2341959381a9d6e1caa52265650a5b013d5	18	0.0345	0.0556	1	PASS	Split \(f\) into \(f^+-f^-\) and check that both positive-part integrals are finite before calling \(f\) integrable.	-
III/03	4	exr:iii03-04		242	c2af4c13dbf14a4889e12f191d74193c33defab4a5811b2e15b99be500f36c34	16	0.0256	0.0294	1	PASS	Use monotonicity of the integral directly when one function is bounded above by another almost everywhere.	-
III/03	5	exr:iii03-05		252	9933e83597bea1138ffd3612a8726e657a37e57f4b7475591128b4a7f5a45249	14	0.0000	0.0294	1	PASS	Linearity for signed functions is safest after verifying absolute integrability of all terms involved.	-
III/03	6	exr:iii03-06		262	f5f11a61be72734bdd59286d341ef82f7012dfbb5b0c89676320720bd82644db	20	0.0278	0.0270	1	PASS	To compare with the Riemann integral, use the common simple/step approximations rather than treating the two definitions as identical.	-
III/03	7	exr:iii03-07		272	1e4c3539b600977436122d22ca193fd2d8bb3b202e3df5f4d2341494b2e322a8	16	0.0294	0.0645	1	PASS	An infinite integral is allowed for nonnegative functions; distinguish this from an undefined expression \(\infty-\infty\).	-
III/03	8	exr:iii03-08		282	ff9cd4627ed769bcbef61157875166496f368a9f013efaf396b601e861e7e107	19	0.0000	0.0000	1	PASS	For truncation, replace \(f\) by \(\min(f,n)\) or by bounded-support cutoffs and then pass to the limit.	-
III/03	9	exr:iii03-expand-01	Simple integral	299	13d8a409f77ed5735bd6a7c10d72a18ef67f59b6c05df7e1fb46e31e48078a9a	4	0.0000	0.0000	1	PASS	Multiply values by measures.	-
III/03	10	exr:iii03-expand-02	Indicator	309	739b59382fdac2fb97f6a7508a0e85abb809b1b99b8fb725c02c61a109572280	5	0.0000	0.0000	1	PASS	Use the simple-function definition.	-
III/03	11	exr:iii03-expand-03	Positive part	319	9db1967ac8169909e3d6c81fd3e369c3f5f3de251cc4ef0e3d9a7f7ae5749711	4	0.0000	0.0000	1	PASS	Keep positive magnitudes separately.	-
III/03	12	exr:iii03-expand-04	Absolute inequality	329	496d8e42eea2de8cadda478a69d24d16cf0a7551de0ad5053d41094b3de40498	4	0.0000	0.0000	1	PASS	Compare f with |f|.	-
III/03	13	exr:iii03-expand-05	Set integral	339	11cf88130811f7cb3cebb38c9074232f3ee471964c31380934495d13ee0bc50d	3	0.3333	0.0000	1	PASS	Use an indicator.	-
III/03	14	exr:iii03-expand-06	Zero criterion	351	f17dc104c2eeaf24c5ed9d0c8401246fae383629027473b6910247c4e535eb5e	7	0.0000	0.0000	1	PASS	Use level sets where f>=1/n.	-
III/03	15	exr:iii03-expand-07	Monotonicity	361	abf5dadf6631fe47e39c5e05b0f90bb7ffef0089d976984f0d7af703e4c5631d	4	0.2500	0.0000	1	PASS	Compare simple lower approximations.	-
III/03	16	exr:iii03-expand-08	Absolute inequality	371	183eed603338cf806026ffae50076d3d4d2d041db1d274658d7932f81593580a	4	0.0000	0.0000	1	PASS	Use -|f| <= f <= |f|.	-
III/03	17	exr:iii03-expand-09	Null invariance	381	5eddeb9c39afc4c1f7f371ee8fc127f778373a8cd7ba4c51a9e688f91ebb6a08	15	0.2000	0.0000	1	PASS	Use that the integral of a measurable function supported on a null set is zero.	-
III/03	18	exr:iii03-expand-10	Undefined signed integral	393	a94941a115ae0fa9707a82cc1ce2cdc5cb7a2e48957e283f4a1600889fc404cc	5	0.0000	0.1667	1	PASS	Use 1/x around zero.	-
III/03	19	exr:iii03-expand-11	Finite values not enough	403	c3d327b03e2183bdccd91cb3c2202e128f74a978001822c30fc7b6dbe4c60aa0	5	0.0000	0.0000	1	PASS	Use a slowly decaying tail.	-
III/03	20	exr:iii03-expand-12	Lebesgue not Riemann	413	7d16716ca3569d73a6269046833b9becf7771ca7d805df0efc64ee55dcd78d21	4	0.0000	0.0000	1	PASS	Use the rational indicator.	-
III/03	21	exr:iii03-expand-13	Expectation	425	c849a562221c8099c8397f40780488f433d6dcd8f9f2272670aa968cd32801ac	10	0.3750	0.0000	1	PASS	Probability is a measure and a random variable is measurable.	-
III/03	22	exr:iii03-expand-14	Sparse corruption	435	de61333ab7875656a264c8c72b442e1451d2056379129d3a6f1571bf6b2b634f	6	0.1000	0.1111	1	PASS	A finite set has measure zero.	-
III/03	23	exr:iii03-expand-15	Layer-cake	447	fe2a96b3521eedcf8316bcea09cc7adae772752758defc34946dba1c55819b8f	14	0.2857	0.1111	1	PASS	Represent f(x) as the integral over t of the indicator f(x)>t.	-
III/03	24	exr:iii03-expand-16	Power singularity	457	25c8ac9d87a5aa10b216e44146f77918e6f3f0f06ebdf601095a8b22d1706a2d	5	0.0000	0.0000	1	PASS	Integrate the power near zero.	-
III/04	1	exr:iii04-01		212	98b6f9ca14c82747d899e643ba78257866b881be1f1a19fc62c6f159022db9d9	19	0.0857	0.0606	1	PASS	For monotone convergence, check \(0\le f_n\uparrow f\) almost everywhere before passing the limit through the integral.	-
III/04	2	exr:iii04-02		222	a1cf1733f1cb2cd473c8d6f3786604d38c68619bbf9b353210330bcd6aa6ad17	17	0.0303	0.0250	1	PASS	Fatou gives a lower bound for \(\int\liminf f_n\); write the liminf explicitly before applying it.	-
III/04	3	exr:iii04-03		232	777ae308fff91f79161759b7b173ff406edb9020be303400016258bf4ea18538	15	0.0588	0.0357	1	PASS	For dominated convergence, find one integrable \(g\) with \(|f_n|\le g\) for every \(n\).	-
III/04	4	exr:iii04-04		242	facc076eaa83b752dfc450744ea949d730ac1a82befd133229a3e6f24278034f	14	0.0263	0.0263	1	PASS	Do not replace domination by pointwise boundedness; the dominating function must itself be integrable.	-
III/04	5	exr:iii04-05		252	2926e36de1fdfc3fcd8b549ce7a1fe93fe38fa3f45606c6cab70c698df96fe61	15	0.0000	0.0286	1	PASS	To build a counterexample, use moving spikes whose heights and supports defeat uniform integral control.	-
III/04	6	exr:iii04-06		262	2b0a8a0fcc1ab53d172b3b2d2c29149c2e242936e4bd7224d2763d8fd28cb01b	16	0.0303	0.0857	1	PASS	If the functions change sign, apply Fatou to a nonnegative modification or use dominated convergence instead.	-
III/04	7	exr:iii04-07		272	d9528d4682a3f342fc944527eac50a9b6493c0ec575bfa30bae71c25b26d0faa	17	0.0256	0.0909	1	PASS	Separate almost-everywhere convergence from convergence in measure or norm; the theorem only needs the stated mode.	-
III/04	8	exr:iii04-08		282	06fa7950ccfb10999d404ebd1f41fcee34189e8057dc0ca3c8f6c7dad596c79c	16	0.0571	0.0526	1	PASS	Choose the theorem with hypotheses you can actually verify rather than the strongest theorem you remember.	-
III/04	9	exr:iii04-expand-01	MCT limit	299	4e01574bfb4279d1958f7251c449ea146279407febb742705b8b357b5719abe1	2	0.0000	0.0000	1	PASS	Apply MCT.	-
III/04	10	exr:iii04-expand-02	Fatou	309	161a1e97fbbf7beb8e42e3842c8c0c2d5911fc45711ec39773e01ba12a49d009	2	0.0000	0.0000	1	PASS	Use Fatou.	-
III/04	11	exr:iii04-expand-03	DCT	319	fc2109502c8c026a3d439813f0f3577ab7ee553c24ca8c7c158ed86f119ab53c	2	0.0000	0.0000	1	PASS	Apply DCT.	-
III/04	12	exr:iii04-expand-04	L1 to measure	329	eef5be93eaa51d04f2c8fad07a84538607c610a6805ba4f96187ea2045726746	2	0.0000	0.0000	4	PASS	Use Chebyshev.	duplicate-hint diagnostic=4
III/04	13	exr:iii04-expand-05	Series MCT	339	1745ab9084d3341473859e8370232f5b075374924bc07a8c38ac92731becf564	3	0.3333	0.0000	1	PASS	Partial sums increase.	-
III/04	14	exr:iii04-expand-06	Fatou proof	351	2e646371dec9f213e04e630e9e9421d6e0516f83d4a234c4e089c95a59b7011a	9	0.0000	0.0000	1	PASS	Define g\_N as the infimum of the tail.	-
III/04	15	exr:iii04-expand-07	DCT integrability	361	73c8d0e644bb192f332aedbc59be5b98991678da722a505a44ebd525102fa756	10	0.0000	0.0000	1	PASS	The pointwise limit is bounded by the dominator almost everywhere.	-
III/04	16	exr:iii04-expand-08	L1 implies measure	371	badeb5c548c29ccda3fdb16acc3dccf570f221a4978b1ebe93ec76532259dabc	5	0.0000	0.0000	1	PASS	Apply Chebyshev to the difference.	-
III/04	17	exr:iii04-expand-09	MCT series	381	353e8fa898315f74b1b252b72a0b92710e8c065ae5ba400de394fb1d63f480fa	6	0.0000	0.0000	1	PASS	Partial sums form an increasing sequence.	-
III/04	18	exr:iii04-expand-10	Moving spike	393	0e79cd835f467a339982114afb11773621d4e12f1c0e792069c21c2739c5b54b	6	0.0000	0.0000	1	PASS	Use n on (0,1/n).	-
III/04	19	exr:iii04-expand-11	No dominator	403	971f13fbe1764bf23b3c0a803e49c246d455bedfe088929142ceb7577ca6b4a6	9	0.0000	0.0769	1	PASS	Any dominator must be large arbitrarily close to zero.	-
III/04	20	exr:iii04-expand-12	Signed monotone caveat	413	874d4e9491afc8417aa8a300d3e1bcddc797faccc085f0985d17f4e9ad418ca7	7	0.0667	0.0000	1	PASS	Signed infinite masses can create undefined subtraction.	-
III/04	21	exr:iii04-expand-13	Expectation limits	425	e820c5b174bb9fdf6b68a42a52ded4c197e00b8b081cbd4ed2374b5a1250cedd	3	0.0000	0.0909	1	PASS	Expectations are integrals.	-
III/04	22	exr:iii04-expand-14	Domain truncation	435	f9686f47d9d699320e928c0d79560dd7cd7caebb732df78cc4039bfc58e735a5	7	0.0000	0.0000	1	PASS	Use f times indicators of increasing sets.	-
III/04	23	exr:iii04-expand-15	Scheffe insight	447	3646c86f287813b8b67ac075df14713859fc1917c264904c376de98afcce97d8	5	0.1250	0.0000	1	PASS	Compare min(f\_n,f).	-
III/04	24	exr:iii04-expand-16	Uniform integrability	457	3b0f276c387bc44c2b16386b25408ec01109b8f6accab7dd14d2984a745caf92	8	0.0000	0.0000	1	PASS	It prevents substantial integral mass on tiny sets.	-
III/05	1	exr:iii05-01		209	f82add5890f878bff00caa9b22c38d1dab2957aaed839b4a6669255de2eb0f2b	17	0.1667	0.1250	1	PASS	On rectangles, start from measurable rectangles and extend to the product sigma-algebra before using product measure.	-
III/05	2	exr:iii05-02		219	9ea183e4621f6d6c9451f7d5cf50722fc1fdf302f6a2e021bb1c3c76ad7e49cf	18	0.0000	0.0000	1	PASS	Tonelli applies to nonnegative functions even when the integral is infinite; use it before worrying about absolute integrability.	-
III/05	3	exr:iii05-03		229	df8891b51fc1e8dce071bbf15b86fa1f1868f20189a42a3dd646810ce2ce7924	12	0.0000	0.0270	1	PASS	Fubini requires integrability; check \(\int |f|<\infty\) before changing the integration order.	-
III/05	4	exr:iii05-04		239	858ec072e32426b57f57586da12f47a43ec1637c3b8ea6fe62a30cd3e274d134	15	0.0882	0.0270	1	PASS	Compute the inner integral as a function of the outer variable and verify its measurability.	-
III/05	5	exr:iii05-05		249	2aef7dc97c5f545ad0e743947e44e3c74182e06552293b05666cc7a5d230e75a	14	0.0541	0.0556	1	PASS	For indicator functions, reduce Fubini/Tonelli to measuring sections of the underlying measurable set.	-
III/05	6	exr:iii05-06		259	fa843ebd5a62e12d87f45a4657801fde1565e1edf63bcf4ab75dfb561a5cf6c5	15	0.0500	0.0000	1	PASS	Sigma-finiteness is structural in standard product-measure construction; identify the finite-measure pieces explicitly.	-
III/05	7	exr:iii05-07		269	4b828319f9bf9562f0446b0a8df56c4fa398264de14728f8202be798144204d3	17	0.0000	0.0000	1	PASS	To expose failure of Fubini, look for conditionally convergent positive and negative parts with infinite total variation.	-
III/05	8	exr:iii05-08		279	5f15a2f8c832919d5cbf55e50f923d0ea7b473408590f71a4e241b9d835ee502	20	0.0476	0.0000	1	PASS	After swapping integrals, compare the two iterated expressions to the original product-space integral rather than only to each other.	-
III/05	9	exr:iii05-expand-01	Rectangle	296	e5968c9ac90b40468f38bfdbb3209042bb10a3241b921567d06294706cb1d584	1	0.0000	0.0000	1	PASS	Multiply.	-
III/05	10	exr:iii05-expand-02	Separable integral	306	6fe02f919108fffc99df9de4c966dcd18d2f549825cbb327bc765e08aeb61771	4	0.0000	0.0000	1	PASS	Factor the iterated integral.	-
III/05	11	exr:iii05-expand-03	Section	316	4eeaec9b39fc127fcd3d3eed73816301352925aeb9fb3e18774e4f5e2cc567ea	2	0.0000	0.0000	1	PASS	Fix x.	-
III/05	12	exr:iii05-expand-04	Tonelli infinity	326	2cecb52d4bf9a4cd285bfd336638d0b68d952698b5366040dd2c06d8893f53d5	6	0.0000	0.0000	1	PASS	Use equality in the extended sense.	-
III/05	13	exr:iii05-expand-05	Fubini criterion	336	42fee4fb8ae009b81b59ba29e5e075ad67e1c2f3f5716f875aeb661dec59360a	3	0.0000	0.0000	1	PASS	Check absolute integrability.	-
III/05	14	exr:iii05-expand-06	Rectangle rule	348	25bb6c82ab709a4bf0802e522dad9e6370588949e95c8086b4092168728259b3	5	0.0000	0.2000	1	PASS	It defines the product premeasure.	-
III/05	15	exr:iii05-expand-07	Tonelli proof	358	8a2c78ca3a2f21f62fa9ce19cd87e5deb3b0c9d638b55b04538817b994c8dd54	6	0.0870	0.0000	1	PASS	Indicators, simple functions, then monotone convergence.	-
III/05	16	exr:iii05-expand-08	Fubini from Tonelli	368	03987f083cfa5093b28779035e79d3e3c01d9196b9036d5877a7201c7acb7beb	7	0.0000	0.0000	1	PASS	Apply Tonelli to |f|, then split signs.	-
III/05	17	exr:iii05-expand-09	Section measurability	378	c0325dc9bc38a938242b79a0a506e6f688a5adcbbd642ccfad8ddb6bfc3d14e6	7	0.0000	0.0000	1	PASS	Iterated integrals require measurable one-variable functions.	-
III/05	18	exr:iii05-expand-10	Conditional order	390	1f5b8970acb2118c762e96fd1ef9e4cdf6ebd1929c2bae136f4ccc115444d018	5	0.1000	0.1111	1	PASS	Cancellation can depend on rearrangement.	-
III/05	19	exr:iii05-expand-11	Sigma-finite caveat	400	2f308755a380cbc55b7b33b5559fdea521a55c33aa4d3d56ade101654f508dfd	9	0.0000	0.0000	1	PASS	It supports extension uniqueness and standard Fubini/Tonelli formulations.	-
III/05	20	exr:iii05-expand-12	Iterated existence	410	0881612a33e25ac3e2f074b3ea0f5881574350c1ce50cb4381d3eb923ea838f0	5	0.0000	0.0000	1	PASS	Absolute integrability may still fail.	-
III/05	21	exr:iii05-expand-13	Probability	422	bec53d61670559260c2f8ec6771c2f61dc66d13fc57dc469dcde4c68e0d3e0b2	5	0.0000	0.0000	1	PASS	Use a product probability space.	-
III/05	22	exr:iii05-expand-14	Convolution theorem	432	c41bb05697699eafdb2a18b57fb2a07b580092bd02224c23c6602c04b1037ef2	9	0.0000	0.0000	1	PASS	The transform of a convolution is a double integral.	-
III/05	23	exr:iii05-expand-15	Triangle domain	444	b19b95a79a339fc53ccb852d0cbf9293eb902fe1695db9ca1c9f6b23a8b66a00	7	0.0000	0.0000	1	PASS	Describe the same triangle from y first.	-
III/05	24	exr:iii05-expand-16	A.e. section integrability	454	d09022027e8872e86ca85810f2e079923cbef9394e13e7a45390f9b0a4fc29cc	4	0.0000	0.0000	1	PASS	Apply Tonelli to |f|.	-
III/06	1	exr:iii06-01		213	4efedbb445f5cf03bfb5f2a74b4e7694150da599b7c71de71e577d17f3e7c659	16	0.0000	0.0323	1	PASS	Compute \(\int |f|^p\) and examine the singularity and tail separately; both regions must be integrable.	-
III/06	2	exr:iii06-02		223	8d30e7c0e6ec0705f33600e793a1b7dde46a7b09396b5341ec9e3119684c4ce5	20	0.0588	0.0714	1	PASS	Remember that \(L^p\) elements are equivalence classes: changing a function on a null set does not change its class.	-
III/06	3	exr:iii06-03		233	88d7bab8f625d9aab9647611667917a83d59ce4e1df1fdd81f3a529921815037	21	0.0250	0.0000	1	PASS	For a Cauchy sequence in \(L^p\), extract a rapidly Cauchy subsequence and use summable norm differences to build the limit.	-
III/06	4	exr:iii06-04		243	9f4ef5ed02e70630cb995f0632941e02c8c42e84a528b90f3e812c603b072ac5	17	0.0303	0.0000	1	PASS	On finite-measure spaces, apply Hölder to compare \(L^q\) and \(L^p\) norms when \(q>p\).	-
III/06	5	exr:iii06-05		253	eb77d9757f3247eec8a8328900e93bba6c6c04e1753650c5156b703f2a30bcde	18	0.0000	0.0882	1	PASS	On infinite-measure spaces, test inclusions with power-law examples instead of assuming the finite-measure relation survives.	-
III/06	6	exr:iii06-06		263	3c9aba28043990f0a14faabd0fb7de7c94d64a3ddf73259f68840bebca849c89	17	0.0323	0.0333	1	PASS	Use truncation in size and support to approximate an \(L^p\) function by bounded finite-support functions.	-
III/06	7	exr:iii06-07		273	a23f903bb25e008e462caee513a2649e588e8ed5b6fe4ca2d147d70c605ecab3	20	0.0278	0.0270	1	PASS	Norm convergence does not imply pointwise convergence of the whole sequence; look for an almost-everywhere convergent subsequence if needed.	-
