file	line	field_dependent_text
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	531	cofinite and non-Hausdorff; over a finite field the rational-point topology is discrete;
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	573	What is the Zariski closure of an infinite subset of $\mathbb A^1_k$ over an infinite field?
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	583	Over an algebraically closed field, what is the closure of a point in affine space?
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	647	Test the claim: finite subsets of affine space over an algebraically closed field need not be closed.
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/examples.tex	62	\begin{example}[A finite field gives a discrete rational-point topology]
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/exercise_hints.tex	62	principal open is dense over an infinite field.
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/exercise_solutions.tex	124	nonzero; over an infinite field the proposition on principal opens makes this set dense.
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/exercises.tex	78	Let \(A_1,\dots,A_n\subseteq k\) be infinite subsets of an infinite field.  Prove
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/problems/p03.tex	55	\item Replace \(\mathbb C\) by an arbitrary infinite field.
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/problems/p04.tex	7	if \(S_1,\dots,S_n\subseteq k\) are infinite subsets of an infinite field \(k\), prove that
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/problems/p05.tex	16	Topology becomes completely different over a finite field, and the topology can be made
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/problems/p05.tex	34	Over a finite field, polynomial functions are rich enough to separate individual rational
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/problems/p08.tex	7	an infinite field \(k\), and let
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/problems/p08.tex	34	nonzero.  Over an infinite field every nonzero principal open is dense.
books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/challenges/c03.tex	6	algebraically closed.  Prove
books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/chapter.tex	142	For a rational point \(a=(a_1,\dots,a_n)\),
books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/chapter.tex	343	Assume \(k\) is algebraically closed, and let
books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/chapter.tex	367	Over an infinite field, no nonzero polynomial vanishes on all of \(k^n\).  Over a finite
books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/chapter.tex	555	Prove: Prove replacing an ideal by its radical does not change the reduced coordinate ring of its zero set over an algebraically closed field.
books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/chapter.tex	607	Test the claim: every closed point has coordinate ring equal to the ground field over arbitrary nonclosed fields.
books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/examples.tex	14	\begin{example}[A rational point]
books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/examples.tex	59	Over an algebraically closed field,
books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/examples.tex	101	\begin{example}[The affine line over a finite field]
books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/exercise_hints.tex	5	\item Use the fact that a polynomial over an infinite field vanishing on all of \(k^n\) is zero.
books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/exercises.tex	80	Assume \(k\) is algebraically closed and \(X=V(xy)\).  Show that \(k[X]\) contains nonzero
books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/problems/p05.tex	5	Assume \(k\) is algebraically closed and set \(X=V(xy)\subseteq\mathbb A_k^2\).  Prove
books/vol06_algebraic_geometry/chapters/ch04_morphisms_affine_algebraic_sets/chapter.tex	903	construction in the opposite direction.  If \(k\) is algebraically closed and
books/vol06_algebraic_geometry/chapters/ch04_morphisms_affine_algebraic_sets/problems/p02.tex	5	Assume \(k\) is algebraically closed.  Let \(X\subseteq\mathbb A^m\) and
books/vol06_algebraic_geometry/chapters/ch04_morphisms_affine_algebraic_sets/problems/p02.tex	17	Over an algebraically closed field, finitely generated reduced algebras are geometrically
books/vol06_algebraic_geometry/chapters/ch04_morphisms_affine_algebraic_sets/problems/p02.tex	29	has zero set exactly \(X\times Y\).  Over algebraically closed \(k\), the resulting
books/vol06_algebraic_geometry/chapters/ch04_morphisms_affine_algebraic_sets/problems/p02.tex	40	algebraically closed field and are geometrically integral; the tensor product is a domain.
books/vol06_algebraic_geometry/chapters/ch04_morphisms_affine_algebraic_sets/problems/p03.tex	5	Assume \(k\) is algebraically closed and \(\operatorname{char}(k)\neq2\).  Let
books/vol06_algebraic_geometry/chapters/ch04_morphisms_affine_algebraic_sets/problems/p05.tex	12	projection \(\mathbb A^2\to\mathbb A^1\) and, over an infinite field, to squaring
books/vol06_algebraic_geometry/chapters/ch04_morphisms_affine_algebraic_sets/problems/p05.tex	29	infinite field, so the image is Zariski dense even when it is not all rational points.
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/chapter.tex	441	Assume now that \(k\) is algebraically closed.
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/chapter.tex	537	We now assume that \(k\) is algebraically closed.
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/chapter.tex	552	Let \(X\) be an affine algebraic set over an algebraically closed field \(k\).  Then the
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/chapter.tex	802	but not conversely.  Over an algebraically closed field,
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/chapter.tex	864	Is a closed point irreducible?
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/exercise_solutions.tex	43	connected.  Over an algebraically closed field the connectedness--idempotent criterion
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/exercises.tex	7	Assume \(k\) is algebraically closed.  Decide which of
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/exercises.tex	46	In \(A=k[x,y]/(xy)\), exhibit nonzero zero divisors.  Assuming \(k\) algebraically closed,
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/exercises.tex	81	Assume \(k\) is algebraically closed and choose three distinct elements \(a,b,c\in k\).
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/exercises.tex	111	Assume \(k\) algebraically closed and
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/problems/c01.tex	86	ring when the base field is algebraically closed.
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/problems/c02.tex	5	Assume \(k\) is algebraically closed and let \(X\) be an affine algebraic set with connected
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/problems/c02.tex	53	requires no algebraically closed base field.
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/problems/c03.tex	5	Assume \(k\) is algebraically closed and let \(m,n\ge2\).  Identify
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/problems/c03.tex	41	Because \(k\) is algebraically closed, it is infinite, and affine space is irreducible.
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/problems/p04.tex	7	Assume \(k\) is algebraically closed.  Let
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/problems/p05.tex	7	Assume \(k\) is algebraically closed and \(X\) is an affine algebraic set.  Prove that the
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/problems/p05.tex	49	\(I(Y)+I(Z)=(1)\) over an algebraically closed field.  Use the Chinese remainder theorem.
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/problems/p05.tex	79	Over algebraically closed \(k\), the Nullstellensatz gives
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/problems/p05.tex	137	algebraically closed base field.
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/problems/p06.tex	11	no nontrivial idempotents when \(k\) is algebraically closed.
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/problems/p06.tex	38	divisors because \(xy=0\), so the ring is not a domain.  Over algebraically closed \(k\),
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/problems/p07.tex	5	Assume \(k\) is algebraically closed.  Let \(Y,Z\subseteq\mathbb A_k^n\) be nonempty
books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/problems/p08.tex	5	Assume \(k\) is algebraically closed and let
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/challenges/c01.tex	21	\(f\notin\sqrt I\), localize or use a maximal ideal among ideals containing \(I\) and
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/challenges/c03.tex	17	one-variable model for geometric irreducibility.
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	42	\text{maximal ideal},
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	57	geometry dictionary we assume that \(k\) is algebraically closed.  Several examples then
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	58	show why prime ideals remain meaningful even when \(k\) is not algebraically closed.
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	64	\item identify ordinary affine points with maximal ideals over an algebraically closed field;
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	125	Every maximal ideal is prime.
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	164	Every ordinary point \(a\in\mathbb A_k^n\) determines a maximal ideal
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	173	Assume \(k\) is algebraically closed.  Every maximal ideal of
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	181	Thus, over an algebraically closed field,
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	219	Assume \(k\) is algebraically closed.  The assignments
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	242	This is the decisive conceptual step.  A maximal ideal remembers one closed point.  A
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	263	Assuming \(k\) algebraically closed, all three ideals are prime and
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	275	Assume \(k\) algebraically closed.  Let \(I\subseteq k[x_1,\dots,x_n]\) be an ideal and
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	352	Suppose \(X=V(I)\subseteq\mathbb A_k^n\) over an algebraically closed field.  If
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	365	Let \(X\subseteq\mathbb A_k^n\) be algebraic over an algebraically closed field.  The
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	425	\text{closed point}.
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	472	maximal \(\mathfrak m\) & \(A/\mathfrak m\) field & ordinary closed point over algebraically closed \(k\) & closed point\\
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	494	Over a non-algebraically closed field, a maximal ideal may have no point in \(k^n\).  The
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	540	encode irreducible geometric information.  Over an algebraically closed field,
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	542	\text{closed point}
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	544	\text{maximal ideal}
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	585	\begin{exercise}[Closed point]\label{exr:vi06-expand-02}
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/examples.tex	12	\begin{example}[A closed point on the affine line]
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/examples.tex	32	If \(k\) is algebraically closed, the irreducibles are linear, so the nonzero primes are
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/examples.tex	36	\begin{example}[A non-rational maximal ideal over \(\mathbb R\)]
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/exercise_hints.tex	3	\paragraph{Hint for Exercise~\ref{ex:vi06-maximal-prime}.} Use that a quotient by a maximal ideal is a field. For the counterexample use $(0)\subset k[t]$.
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/exercise_hints.tex	15	\paragraph{Hint for Exercise~\ref{ex:vi06-order-reversal}.} One direction is elementary. For the converse use $I(V(\mathfrak p))=\mathfrak p$ for prime $\mathfrak p$ over algebraically closed $k$.
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/exercise_hints.tex	23	\paragraph{Hint for Exercise~\ref{ex:vi06-maximal-points}.} The weak Nullstellensatz says the residue field of a maximal ideal in a finitely generated $k$-algebra is $k$.
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/exercise_solutions.tex	27	Together with \((0)\), these are all primes.  If \(k\) is algebraically closed, every
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/exercises.tex	9	Prove that every maximal ideal is prime.  Give an example of a prime ideal that is not
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/exercises.tex	43	Assume \(k\) is algebraically closed.  For prime ideals \(\mathfrak p,\mathfrak q\), prove
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/exercises.tex	62	Assume \(k\) is algebraically closed.  Prove that an algebraic subset
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/exercises.tex	67	Assume \(k\) algebraically closed and use the weak Nullstellensatz to show that the maximal
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/figures/vi06_bridge.tex	10	\node[box, right=of pt] (max) {maximal ideal\\$\mathfrak m_a=(x_1-a_1,\dots,x_n-a_n)$};
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/figures/vi06_bridge.tex	18	\caption{The bridge from classical affine geometry to prime ideals as geometric points. Over an algebraically closed field, closed points correspond to maximal ideals and irreducible closed loci correspond to prime ideals.}
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/figures/vi06_crossing_axes.tex	20	\caption{In the crossing axes, the two minimal prime ideals encode the two irreducible components, while the maximal ideal $(x,y)$ encodes their ordinary intersection point.}
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/figures/vi06_field_dependence.tex	9	\node[box] (r) {$\mathbb R[t]$\\prime/maximal ideal $(t^2+1)$\\no real coordinate root};
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/problems/p01.tex	17	\item Over algebraically closed \(k\), interpret \(I\subseteq\mathfrak p\) as incidence of the irreducible locus \(V(\mathfrak p)\) with the closed condition \(V(I)\).
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/problems/p01.tex	47	For (4), over algebraically closed \(k\),
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/problems/p02.tex	10	\item If \(k\) is algebraically closed, identify the ordinary closed point corresponding
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/problems/p02.tex	24	when \(k\) is algebraically closed.
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/problems/p02.tex	36	algebraically closed, \(f=x-a\) for some \(a\in k\), so the nonzero primes are exactly the
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/problems/p03.tex	6	Assume \(k\) is algebraically closed.  Using the weak Nullstellensatz, prove that the map
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/problems/p03.tex	14	algebraically closed field by \(\mathbb R\).
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/problems/p03.tex	31	maximal ideal.  Different points give different kernels.
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/problems/p03.tex	45	When $k$ is algebraically closed, closed points coincide with ordinary coordinate points.
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/problems/p04.tex	11	\item Assuming \(k\) algebraically closed, interpret the result geometrically on the
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/problems/p05.tex	12	\item Assuming \(k\) algebraically closed, identify all four zero loci.
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/problems/p06.tex	50	of geometric irreducibility and base change.
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/problems/p06.tex	53	Analyze an irreducible cubic over a non-algebraically closed field after passing to a
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/problems/p07.tex	37	This is the maximal ideal of the point \((a,a^2)\) on the parabola \(y=x^2\).
books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/problems/p08.tex	50	reflects increasingly weaker geometric conditions: closed point, irreducible locus, reduced
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/challenges/c03.tex	7	surjective.  Explain why two conjugate complex closed points can map to one real closed point.
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex	254	If $k$ is algebraically closed,
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex	258	The zero prime specializes to every closed point.  Over a nonclosed field, irreducible
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex	367	field $K$ & $(0)$ & one closed point\\
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex	368	$k[t]$, $k$ algebraically closed & $(0)$ and $(t-a)$ & one generic direction specializing to all ordinary points\\
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex	369	$\ZZ$ & $(0)$ and $(p)$ & arithmetic generic point plus one closed point for each prime number\\
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex	407	\begin{problem}Classify the prime specialization levels of $\Spec k[x,y]$ for algebraically closed $k$.\end{problem}
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/examples.tex	17	\begin{example}[The affine line over an algebraically closed field]
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/examples.tex	18	If $k$ is algebraically closed,
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/examples.tex	27	linear factors and irreducible quadratics.  Thus $(t^2+1)$ is a closed point of
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/examples.tex	28	$\Spec\RR[t]$ even though it is not an $\RR$-rational point of the classical line.
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/examples.tex	34	record finite field extensions.
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/examples.tex	59	Let $R=k[x,y]/(xy)$.  The primes $(\bar x)$ and $(\bar y)$ are minimal.  The maximal ideal
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/examples.tex	91	For algebraically closed $k$,
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/examples.tex	99	\text{closed point}.
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/examples.tex	112	A closed point $(x-a)$ contracts to $(t-a^2)$, while $(0)$ contracts to $(0)$.
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/exercise_solutions.tex	45	algebraically closed, the irreducibles are linear, so the nonzero primes are $(t-a)$.
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/exercises.tex	46	when $k$ is algebraically closed.
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/problems/p01.tex	69	and every maximal ideal is closed.  Thus the topology has a generic plane point, generic
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/problems/p05.tex	34	If $k$ is algebraically closed, these families are
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/problems/p10.tex	2	Let $k$ be algebraically closed and consider
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/problems/p10.tex	28	For a closed point $(x-a)$,
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/problems/p10.tex	41	If $\operatorname{char}k\neq2$, a nonzero closed point $(t-b)$ has two preimages whenever
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/problems/p10.tex	43	preimage $(x)$.  Since $k$ is algebraically closed, every $b$ has a square root.
books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/problems/p10.tex	46	because $k$ is algebraically closed, so every closed point has a unique closed-point preimage.
books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/chapter.tex	176	no maximal ideal contains $f$, so $(f)=A$ and $f$ is a unit.
books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/examples.tex	17	If $k$ is algebraically closed, this removes the closed point $(t)$ and keeps the generic
books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/examples.tex	27	Assume $a\neq b$ in an algebraically closed field $k$.  Then
books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/examples.tex	98	maximal ideal the radical of a principal ideal, contradicting the principal ideal theorem.
books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/exercise_hints.tex	34	If $f$ is not a unit, $(f)$ is contained in a maximal ideal.
books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/exercise_solutions.tex	36	If $f$ is a unit, no prime contains it.  Conversely, if $D(f)=\Spec A$, then no maximal ideal
books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/exercise_solutions.tex	37	contains $f$.  If $f$ were a nonunit, the proper ideal $(f)$ would lie in a maximal ideal, contradiction.
books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/exercise_solutions.tex	51	No prime contains the ideal iff the ideal is the whole ring, since every proper ideal lies in a maximal ideal.
books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/exercise_solutions.tex	79	For algebraically closed $k$, the points are $(0)$ and $(t-a)$.  The ideal $(t)$ is the only closed point
books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/exercises.tex	81	For algebraically closed $k$, describe $D(t)\subseteq\Spec k[t]$ and compute $k[t]_t$.
books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/problems/p10.tex	18	A proper ideal lies in a maximal ideal, and every maximal ideal is prime.
books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/problems/p10.tex	29	$I=(f_1,\dots,f_r)$ were proper, it would lie in a maximal ideal $\mathfrak m$, and then
books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/problems/p13.tex	52	The topology sees only whether an element is a unit or lies in the nilpotent maximal ideal;
books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/challenges/c01.tex	12	It is enough to show every nonempty principal open contains a maximal ideal.  If $D(f)$ is
books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/challenges/c01.tex	16	Choose a maximal ideal of $A_f$ and contract it to $A$.  Use Zariski's lemma to show the
books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/challenges/c01.tex	24	the ring $A_f$ is again a finitely generated $k$-algebra.  Choose a maximal ideal
books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/challenges/c01.tex	40	closed point.  Since principal opens form a basis, closed points are dense in $\Spec A$.
books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/challenges/c01.tex	54	When $k$ is algebraically closed, reformulate the result as density of classical
books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/challenges/c03.tex	2	Let $k$ be an infinite field and let
books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/challenges/c03.tex	6	The closed points are $(t-a)$ for $a\in k$ when $k$ is algebraically closed, together with
books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/challenges/c03.tex	14	\item Show that no closed point specializes to the generic point $(0)$.
books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/challenges/c03.tex	26	A proper closed subset of $\Spec k[t]$ is finite when $k$ is algebraically closed.
books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/chapter.tex	12	A prime ideal may represent a closed point, the generic point of an irreducible closed
books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/chapter.tex	249	\item $\mathfrak p$ is a closed point of $\Spec A$;
books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/chapter.tex	267	For a maximal ideal $\mathfrak m$, the quotient $A/\mathfrak m$ is a field.  VI/11 will
books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/chapter.tex	272	Let $A$ be a $k$-algebra.  A $k$-rational point of $\Spec A$ corresponds to a $k$-algebra
books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/chapter.tex	277	hence to a maximal ideal $\mathfrak m$ for which
