canonical_dossier_id	volume	chapter_code	entry_kind	label	title	provenance_origin	provenance_ledger	provenance_source_file	provenance_source_block_id	mapped_source_rules	source_rule_dispositions
prob:i01-dossier-11	I	I/01	problem	prob:i01-dossier-11	Direct verification from axioms	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-12	I	I/01	problem	prob:i01-dossier-12	A geometric synthesis	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i02-dossier-01	I	I/02	problem	prob:i02-dossier-01	Intersection and sum of planes	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T02.SECTION	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i02-dossier-02	I	I/02	problem	prob:i02-dossier-02	A union that fails	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T02.EXERCISE_CHILDREN	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i02-dossier-03	I	I/02	problem	prob:i02-dossier-03	Span from row reduction	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T02.THEORY_CHILDREN	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i02-dossier-04	I	I/02	problem	prob:i02-dossier-04	Redundant generator	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i02-dossier-05	I	I/02	problem	prob:i02-dossier-05	Subspace defined by a functional	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i02-dossier-06	I	I/02	problem	prob:i02-dossier-06	Dependence with a parameter	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i02-dossier-07	I	I/02	problem	prob:i02-dossier-07	Minimal spanning extraction	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i02-dossier-08	I	I/02	problem	prob:i02-dossier-08	A nonlinear constraint	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i02-dossier-09	I	I/02	problem	prob:i02-dossier-09	Independence of monomials	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i02-dossier-10	I	I/02	problem	prob:i02-dossier-10	Sum not direct	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i02-dossier-11	I	I/02	problem	prob:i02-dossier-11	Solving a dependence relation	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i02-dossier-12	I	I/02	problem	prob:i02-dossier-12	Subspace synthesis	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i03-dossier-01	I	I/03	problem	prob:i03-dossier-01	Basis test by uniqueness	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T03.SECTION	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i03-dossier-02	I	I/03	problem	prob:i03-dossier-02	Dimension of a constrained polynomial space	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T03.EXERCISE_CHILDREN	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i03-dossier-03	I	I/03	problem	prob:i03-dossier-03	Extend an independent list	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T03.THEORY_CHILDREN	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i03-dossier-04	I	I/03	problem	prob:i03-dossier-04	Reduce a spanning list	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i03-dossier-05	I	I/03	problem	prob:i03-dossier-05	Dimension of symmetric matrices	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i03-dossier-06	I	I/03	problem	prob:i03-dossier-06	Dimension formula in action	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i03-dossier-07	I	I/03	problem	prob:i03-dossier-07	Full-dimension subspace	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i03-dossier-08	I	I/03	problem	prob:i03-dossier-08	Trace-zero matrices	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i03-dossier-09	I	I/03	problem	prob:i03-dossier-09	Coordinate uniqueness	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i03-dossier-10	I	I/03	problem	prob:i03-dossier-10	Finite versus infinite dimension	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i03-dossier-11	I	I/03	problem	prob:i03-dossier-11	Direct-sum dimension	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i03-dossier-12	I	I/03	problem	prob:i03-dossier-12	Basis synthesis	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i04-dossier-01	I	I/04	problem	prob:i04-dossier-01	Transition matrix from columns	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T04.SECTION	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i04-dossier-02	I	I/04	problem	prob:i04-dossier-02	Coordinates of a polynomial	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T04.EXERCISE_CHILDREN	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i04-dossier-03	I	I/04	problem	prob:i04-dossier-03	Cocycle identity	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T04.THEORY_CHILDREN	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i04-dossier-04	I	I/04	problem	prob:i04-dossier-04	A badly conditioned basis	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i04-dossier-05	I	I/04	problem	prob:i04-dossier-05	Permutation of basis vectors	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i04-dossier-06	I	I/04	problem	prob:i04-dossier-06	Scaling a basis	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i04-dossier-07	I	I/04	problem	prob:i04-dossier-07	Coordinates versus objects	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i04-dossier-08	I	I/04	problem	prob:i04-dossier-08	Dual transformation	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i04-dossier-09	I	I/04	problem	prob:i04-dossier-09	Coordinate map isomorphism	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i04-dossier-10	I	I/04	problem	prob:i04-dossier-10	Three-basis computation	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i04-dossier-11	I	I/04	problem	prob:i04-dossier-11	Basis from columns	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i04-dossier-12	I	I/04	problem	prob:i04-dossier-12	Coordinate synthesis	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i05-dossier-01	I	I/05	problem	prob:i05-dossier-01	Basis images determine a map	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T05.SECTION	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i05-dossier-02	I	I/05	problem	prob:i05-dossier-02	Detecting nonlinearity quickly	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T05.EXERCISE_CHILDREN	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i05-dossier-03	I	I/05	problem	prob:i05-dossier-03	Differentiation as an operator	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T05.THEORY_CHILDREN	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i05-dossier-04	I	I/05	problem	prob:i05-dossier-04	Composition order	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i05-dossier-05	I	I/05	problem	prob:i05-dossier-05	A nilpotent map	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i05-dossier-06	I	I/05	problem	prob:i05-dossier-06	Evaluation functional	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i05-dossier-07	I	I/05	problem	prob:i05-dossier-07	Inverse linearity	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i05-dossier-08	I	I/05	problem	prob:i05-dossier-08	Zero map versus zero vector	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i05-dossier-09	I	I/05	problem	prob:i05-dossier-09	A projection decomposition	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i05-dossier-10	I	I/05	problem	prob:i05-dossier-10	A linear map from a formula	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i05-dossier-11	I	I/05	problem	prob:i05-dossier-11	Restriction to a subspace	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i05-dossier-12	I	I/05	problem	prob:i05-dossier-12	Operator synthesis	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i06-dossier-01	I	I/06	problem	prob:i06-dossier-01	Rank-nullity from equations	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T06.SECTION	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i06-dossier-02	I	I/06	problem	prob:i06-dossier-02	Kernel detects injectivity	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T06.EXERCISE_CHILDREN	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i06-dossier-03	I	I/06	problem	prob:i06-dossier-03	First isomorphism theorem	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T06.THEORY_CHILDREN	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i06-dossier-04	I	I/06	problem	prob:i06-dossier-04	Trace kernel	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i06-dossier-05	I	I/06	problem	prob:i06-dossier-05	Image of differentiation	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i06-dossier-06	I	I/06	problem	prob:i06-dossier-06	Injective endomorphism	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i06-dossier-07	I	I/06	problem	prob:i06-dossier-07	A quotient dimension	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i06-dossier-08	I	I/06	problem	prob:i06-dossier-08	Rank under composition	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i06-dossier-09	I	I/06	problem	prob:i06-dossier-09	Same kernel, different maps	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i06-dossier-10	I	I/06	problem	prob:i06-dossier-10	Surjective map splitting	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i06-dossier-11	I	I/06	problem	prob:i06-dossier-11	Kernel of a matrix operator	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i06-dossier-12	I	I/06	problem	prob:i06-dossier-12	Structural synthesis	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i07-dossier-01	I	I/07	problem	prob:i07-dossier-01	Matrix from basis images	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T07.SECTION	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i07-dossier-02	I	I/07	problem	prob:i07-dossier-02	Composition matrix	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T07.EXERCISE_CHILDREN	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i07-dossier-03	I	I/07	problem	prob:i07-dossier-03	Similarity from basis change	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T07.THEORY_CHILDREN	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i07-dossier-04	I	I/07	problem	prob:i07-dossier-04	Derivative matrix	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i07-dossier-05	I	I/07	problem	prob:i07-dossier-05	Rank from columns	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i07-dossier-06	I	I/07	problem	prob:i07-dossier-06	Elementary matrix meaning	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i07-dossier-07	I	I/07	problem	prob:i07-dossier-07	Inverse matrix as inverse map	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i07-dossier-08	I	I/07	problem	prob:i07-dossier-08	Rectangular matrix	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i07-dossier-09	I	I/07	problem	prob:i07-dossier-09	Same operator, different matrices	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i07-dossier-10	I	I/07	problem	prob:i07-dossier-10	Projection matrix	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i07-dossier-11	I	I/07	problem	prob:i07-dossier-11	Column space and image	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i07-dossier-12	I	I/07	problem	prob:i07-dossier-12	Matrix synthesis	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i08-dossier-01	I	I/08	problem	prob:i08-dossier-01	Determinant by elimination	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	OVR.I_08.SECTION	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i08-dossier-02	I	I/08	problem	prob:i08-dossier-02	Effect of a row replacement	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	OVR.I_08.EXERCISE_CHILDREN	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i08-dossier-03	I	I/08	problem	prob:i08-dossier-03	Area scaling	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	OVR.I_08.THEORY_CHILDREN	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i08-dossier-04	I	I/08	problem	prob:i08-dossier-04	Invertibility test	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i08-dossier-05	I	I/08	problem	prob:i08-dossier-05	Trace cyclicity	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
prob:i08-dossier-06	I	I/08	problem	prob:i08-dossier-06	Similarity invariants	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	3	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:3
