chapter_code	dossier_index	dossier_label	dossier_title	origin	source_file	source_block_id	source_selector	source_topic	note
II/16	8	prob:ii16-dossier-08	Nested mapping	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/16	9	prob:ii16-dossier-09	Parameter stability	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/16	10	prob:ii16-dossier-10	Integral-equation preview	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/16	11	prob:ii16-dossier-11	ODE preview	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/16	12	prob:ii16-dossier-12	Contraction synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/17	1	prob:ii17-dossier-01	Interval proof	CORPUS_GUIDED	theory-of-analysis.tex	T05.SECTION	Brouwer|fixed point theorem	Brouwer fixed point	Mapped source used for topic guidance; canonical problem and solution newly written.
II/17	2	prob:ii17-dossier-02	Failure without compactness	CORPUS_GUIDED	theory-of-analysis.tex	T05.EXERCISE_CHILDREN	descendant-of(Brouwer|fixed point theorem)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/17	3	prob:ii17-dossier-03	Failure without self-map condition	CORPUS_GUIDED	theory-of-analysis.tex	T05.THEORY_CHILDREN	descendant-of(Brouwer|fixed point theorem)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/17	4	prob:ii17-dossier-04	Nonuniqueness	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/17	5	prob:ii17-dossier-05	Banach versus Brouwer	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/17	6	prob:ii17-dossier-06	Convexity role	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/17	7	prob:ii17-dossier-07	A rotation of a disk	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/17	8	prob:ii17-dossier-08	Sperner intuition	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/17	9	prob:ii17-dossier-09	Equilibrium interpretation	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/17	10	prob:ii17-dossier-10	Topological obstruction	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/17	11	prob:ii17-dossier-11	Approximate fixed points	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/17	12	prob:ii17-dossier-12	Brouwer synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/18	1	prob:ii18-dossier-01	Constant kernel	CORPUS_GUIDED	theory-of-analysis-II.tex	T06.SECTION	integral equation	integral equations	Mapped source used for topic guidance; canonical problem and solution newly written.
II/18	2	prob:ii18-dossier-02	Norm of a simple kernel operator	CORPUS_GUIDED	theory-of-analysis.tex	T06.SECTION	integral equation	integral equations	Mapped source used for topic guidance; canonical problem and solution newly written.
II/18	3	prob:ii18-dossier-03	Neumann approximation	CORPUS_GUIDED	theory-of-analysis-II.tex	T06.EXERCISE_CHILDREN	descendant-of(integral equation)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/18	4	prob:ii18-dossier-04	Volterra uniqueness	CORPUS_GUIDED	theory-of-analysis-II.tex	T06.THEORY_CHILDREN	descendant-of(integral equation)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/18	5	prob:ii18-dossier-05	ODE equivalence	CORPUS_GUIDED	theory-of-analysis.tex	T06.EXERCISE_CHILDREN	descendant-of(integral equation)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/18	6	prob:ii18-dossier-06	Linear resolvent idea	CORPUS_GUIDED	theory-of-analysis.tex	T06.THEORY_CHILDREN	descendant-of(integral equation)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/18	7	prob:ii18-dossier-07	Short-interval contraction	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/18	8	prob:ii18-dossier-08	Iterated operator estimate	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/18	9	prob:ii18-dossier-09	Kernel continuity	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/18	10	prob:ii18-dossier-10	Nonlinear integral map	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/18	11	prob:ii18-dossier-11	Fixed-point viewpoint	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/18	12	prob:ii18-dossier-12	Integral-equation synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/19	1	prob:ii19-dossier-01	Linear scalar IVP	CORPUS_GUIDED	theory-of-analysis-II.tex	T07.SECTION	ODE|ordinary differential|Picard	ODE methods	Mapped source used for topic guidance; canonical problem and solution newly written.
II/19	2	prob:ii19-dossier-02	Integral reformulation	CORPUS_GUIDED	theory-of-analysis.tex	T07.SECTION	ordinary differential|Picard|existence uniqueness	ODE existence	Mapped source used for topic guidance; canonical problem and solution newly written.
II/19	3	prob:ii19-dossier-03	Picard first iterate	CORPUS_GUIDED	theory-of-analysis-II.tex	T07.EXERCISE_CHILDREN	descendant-of(ODE|ordinary differential|Picard)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/19	4	prob:ii19-dossier-04	Uniqueness failure without Lipschitz	CORPUS_GUIDED	theory-of-analysis-II.tex	T07.THEORY_CHILDREN	descendant-of(ODE|ordinary differential|Picard)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/19	5	prob:ii19-dossier-05	Local contraction scale	CORPUS_GUIDED	theory-of-analysis.tex	T07.EXERCISE_CHILDREN	descendant-of(ordinary differential|Picard|existence uniqueness)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/19	6	prob:ii19-dossier-06	Gronwall stability	CORPUS_GUIDED	theory-of-analysis.tex	T07.THEORY_CHILDREN	descendant-of(ordinary differential|Picard|existence uniqueness)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/19	7	prob:ii19-dossier-07	Blow-up and continuation	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/19	8	prob:ii19-dossier-08	Autonomous equilibrium	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/19	9	prob:ii19-dossier-09	Separable example	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/19	10	prob:ii19-dossier-10	Parameter dependence	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/19	11	prob:ii19-dossier-11	Picard convergence	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/19	12	prob:ii19-dossier-12	ODE synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/20	1	prob:ii20-dossier-01	Two-point interpolation	CORPUS_GUIDED	interpolation.tex	S01	interpolation|nodes|error	interpolation figure/example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/20	2	prob:ii20-dossier-02	Three-point Lagrange	CORPUS_GUIDED	interpolation_all.tex	S01	interpolation|n=4|n=8|n=16	interpolation figure suite	Mapped source used for topic guidance; canonical problem and solution newly written.
II/20	3	prob:ii20-dossier-03	Uniqueness by roots	CORPUS_GUIDED	interpolation_n16.tex	S01	interpolation|n=16	interpolation n=16 figure	Mapped source used for topic guidance; canonical problem and solution newly written.
II/20	4	prob:ii20-dossier-04	Lagrange basis property	CORPUS_GUIDED	interpolation_n4.tex	S01	interpolation|n=4	interpolation n=4 figure	Mapped source used for topic guidance; canonical problem and solution newly written.
II/20	5	prob:ii20-dossier-05	Newton divided difference	CORPUS_GUIDED	interpolation_n8.tex	S01	interpolation|n=8	interpolation n=8 figure	Mapped source used for topic guidance; canonical problem and solution newly written.
II/20	6	prob:ii20-dossier-06	Incremental interpolation	CORPUS_GUIDED	theory-of-analysis-numbers.tex	T03.SECTION	interpolation|Lagrange|Newton polynomial	interpolation	Mapped source used for topic guidance; canonical problem and solution newly written.
II/20	7	prob:ii20-dossier-07	Error node product	CORPUS_GUIDED	theory-of-analysis-topics.tex	T01.SECTION	interpolation|Lagrange|nodes	polynomial interpolation	Mapped source used for topic guidance; canonical problem and solution newly written.
II/20	8	prob:ii20-dossier-08	Linear interpolation error	CORPUS_GUIDED	theory-of-analysis-numbers.tex	T03.EXERCISE_CHILDREN	descendant-of(interpolation|Lagrange|Newton polynomial)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/20	9	prob:ii20-dossier-09	Runge warning	CORPUS_GUIDED	theory-of-analysis-numbers.tex	T03.THEORY_CHILDREN	descendant-of(interpolation|Lagrange|Newton polynomial)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/20	10	prob:ii20-dossier-10	Chebyshev motivation	CORPUS_GUIDED	theory-of-analysis-topics.tex	T01.EXERCISE_CHILDREN	descendant-of(interpolation|Lagrange|nodes)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/20	11	prob:ii20-dossier-11	Vandermonde formulation	CORPUS_GUIDED	theory-of-analysis-topics.tex	T01.THEORY_CHILDREN	descendant-of(interpolation|Lagrange|nodes)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/20	12	prob:ii20-dossier-12	Interpolation synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/21	1	prob:ii21-dossier-01	Approximate absolute value	CORPUS_GUIDED	theory-of-analysis-topics.tex	T02.SECTION	Weierstrass approximation|polynomial approximation	polynomial approximation	Mapped source used for topic guidance; canonical problem and solution newly written.
II/21	2	prob:ii21-dossier-02	Bernstein constant	CORPUS_GUIDED	theory-of-analysis-topics.tex	T02.EXERCISE_CHILDREN	descendant-of(Weierstrass approximation|polynomial approximation)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/21	3	prob:ii21-dossier-03	Bernstein identity	CORPUS_GUIDED	theory-of-analysis-topics.tex	T02.THEORY_CHILDREN	descendant-of(Weierstrass approximation|polynomial approximation)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/21	4	prob:ii21-dossier-04	Uniform versus pointwise approximation	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/21	5	prob:ii21-dossier-05	Density interpretation	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/21	6	prob:ii21-dossier-06	No exact representation required	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/21	7	prob:ii21-dossier-07	Approximation of $e^x$	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/21	8	prob:ii21-dossier-08	Approximation and integration	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/21	9	prob:ii21-dossier-09	Approximation and roots	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/21	10	prob:ii21-dossier-10	Smoothness and rate	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/21	11	prob:ii21-dossier-11	Positive operators	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/21	12	prob:ii21-dossier-12	Approximation synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/22	1	prob:ii22-dossier-01	Compute low Chebyshev polynomials	CORPUS_GUIDED	theory-of-analysis-numbers.tex	T02.SECTION	approximation|error estimate|numerical	numerical approximation	Mapped source used for topic guidance; canonical problem and solution newly written.
II/22	2	prob:ii22-dossier-02	Recurrence	CORPUS_GUIDED	theory-of-analysis-topics.tex	T03.SECTION	Chebyshev|minimax|best approximation	Chebyshev approximation	Mapped source used for topic guidance; canonical problem and solution newly written.
II/22	3	prob:ii22-dossier-03	Extrema	CORPUS_GUIDED	theory-of-analysis-numbers.tex	T02.EXERCISE_CHILDREN	descendant-of(approximation|error estimate|numerical)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/22	4	prob:ii22-dossier-04	Zeros	CORPUS_GUIDED	theory-of-analysis-numbers.tex	T02.THEORY_CHILDREN	descendant-of(approximation|error estimate|numerical)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/22	5	prob:ii22-dossier-05	Monic scaling	CORPUS_GUIDED	theory-of-analysis-topics.tex	T03.EXERCISE_CHILDREN	descendant-of(Chebyshev|minimax|best approximation)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/22	6	prob:ii22-dossier-06	Worst-case interpretation	CORPUS_GUIDED	theory-of-analysis-topics.tex	T03.THEORY_CHILDREN	descendant-of(Chebyshev|minimax|best approximation)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/22	7	prob:ii22-dossier-07	Alternating errors	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/22	8	prob:ii22-dossier-08	Linear approximation intuition	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/22	9	prob:ii22-dossier-09	Affine rescaling	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/22	10	prob:ii22-dossier-10	Interpolation connection	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/22	11	prob:ii22-dossier-11	Uniqueness mechanism	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/22	12	prob:ii22-dossier-12	Minimax synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/23	1	prob:ii23-dossier-01	Constant approximation	CORPUS_GUIDED	theory-of-analysis-topics.tex	T04.SECTION	alternation|equioscillation	alternation	Mapped source used for topic guidance; canonical problem and solution newly written.
II/23	2	prob:ii23-dossier-02	Best constant formula	CORPUS_GUIDED	theory-of-analysis-topics.tex	T04.EXERCISE_CHILDREN	descendant-of(alternation|equioscillation)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/23	3	prob:ii23-dossier-03	Degree-one certificate	CORPUS_GUIDED	theory-of-analysis-topics.tex	T04.THEORY_CHILDREN	descendant-of(alternation|equioscillation)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/23	4	prob:ii23-dossier-04	Why equal magnitude?	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/23	5	prob:ii23-dossier-05	Root-count sufficiency	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/23	6	prob:ii23-dossier-06	Uniqueness	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/23	7	prob:ii23-dossier-07	Remez iteration	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/23	8	prob:ii23-dossier-08	Error centering	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/23	9	prob:ii23-dossier-09	Monotone target	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/23	10	prob:ii23-dossier-10	Certificate versus search	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/23	11	prob:ii23-dossier-11	Generalized spaces	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/23	12	prob:ii23-dossier-12	Alternation synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/24	1	prob:ii24-dossier-01	Midpoint rule	CORPUS_GUIDED	theory-of-analysis-numbers.tex	T04.SECTION	quadrature|Simpson|trapezoid	quadrature	Mapped source used for topic guidance; canonical problem and solution newly written.
II/24	2	prob:ii24-dossier-02	Trapezoidal rule	CORPUS_GUIDED	theory-of-analysis-topics.tex	T05.SECTION	quadrature|Gaussian quadrature|Newton-Cotes	quadrature	Mapped source used for topic guidance; canonical problem and solution newly written.
II/24	3	prob:ii24-dossier-03	Simpson rule	CORPUS_GUIDED	theory-of-analysis-numbers.tex	T04.EXERCISE_CHILDREN	descendant-of(quadrature|Simpson|trapezoid)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/24	4	prob:ii24-dossier-04	Degree of exactness	CORPUS_GUIDED	theory-of-analysis-numbers.tex	T04.THEORY_CHILDREN	descendant-of(quadrature|Simpson|trapezoid)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/24	5	prob:ii24-dossier-05	Composite trapezoid	CORPUS_GUIDED	theory-of-analysis-topics.tex	T05.EXERCISE_CHILDREN	descendant-of(quadrature|Gaussian quadrature|Newton-Cotes)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/24	6	prob:ii24-dossier-06	Composite Simpson	CORPUS_GUIDED	theory-of-analysis-topics.tex	T05.THEORY_CHILDREN	descendant-of(quadrature|Gaussian quadrature|Newton-Cotes)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/24	7	prob:ii24-dossier-07	Interpolatory weights	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/24	8	prob:ii24-dossier-08	Positive weights	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/24	9	prob:ii24-dossier-09	Gaussian advantage	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/24	10	prob:ii24-dossier-10	Error and smoothness	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/24	11	prob:ii24-dossier-11	Adaptive idea	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/24	12	prob:ii24-dossier-12	Quadrature synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/25	1	prob:ii25-dossier-01	Rational expansion	CORPUS_GUIDED	theory-of-analysis-numbers.tex	T01.SECTION	continued fraction|convergent|Diophantine approximation	continued fractions	Mapped source used for topic guidance; canonical problem and solution newly written.
II/25	2	prob:ii25-dossier-02	Convergents of $[1;1,1,\dots]$	CORPUS_GUIDED	theory-of-analysis-numbers.tex	T01.EXERCISE_CHILDREN	descendant-of(continued fraction|convergent|Diophantine approximation)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/25	3	prob:ii25-dossier-03	Golden ratio	CORPUS_GUIDED	theory-of-analysis-numbers.tex	T01.THEORY_CHILDREN	descendant-of(continued fraction|convergent|Diophantine approximation)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/25	4	prob:ii25-dossier-04	Recurrence computation	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/25	5	prob:ii25-dossier-05	Neighbor difference	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/25	6	prob:ii25-dossier-06	Why denominators grow	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/25	7	prob:ii25-dossier-07	Best-approximation intuition	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/25	8	prob:ii25-dossier-08	Finite expansion ambiguity	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/25	9	prob:ii25-dossier-09	Square root periodicity	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/25	10	prob:ii25-dossier-10	Euclidean algorithm link	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/25	11	prob:ii25-dossier-11	Approximation scale	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/25	12	prob:ii25-dossier-12	Continued-fraction synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
