asset_id	volume	chapter_code	chapter_source	overlay_source	asset_kind	label	generated_artifact	rebuild_command	caption_contract	prose_anchor	review_status
C07-VII42-TAB	VII	VII/42	books/vol07_differential_geometry/chapters/ch42_curvature_lines_ridges_and_valleys/chapter.tex	books/vol07_differential_geometry/chapters/ch42_curvature_lines_ridges_and_valleys/c07_visuals.tex	table	tab:vii42-c07-ridge-conventions	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states stability conventions	Table~\ref{tab:vii42-c07-ridge-conventions}	C07_REVIEWED
C14-IV-MAP	IV	IV/frontmatter	books/vol04_complex_analysis/book.tex	books/vol04_complex_analysis/frontmatter/series-dependency-map.tex	figure	fig:iv-series-dependencies	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states prerequisite flow is navigational rather than theorem-level	Figure~\ref{fig:iv-series-dependencies}	C14_REVIEWED
C14-V-MAP	V	V/frontmatter	books/vol05_commutative_algebra/book.tex	books/vol05_commutative_algebra/frontmatter/series-dependency-map.tex	figure	fig:v-series-dependencies	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states prerequisite flow is navigational rather than theorem-level	Figure~\ref{fig:v-series-dependencies}	C14_REVIEWED
C14-VI-MAP	VI	VI/frontmatter	books/vol06_algebraic_geometry/book.tex	books/vol06_algebraic_geometry/frontmatter/series-dependency-map.tex	figure	fig:vi-series-dependencies	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states prerequisite flow is navigational rather than theorem-level	Figure~\ref{fig:vi-series-dependencies}	C14_REVIEWED
C14-VI01-TAB	VI	VI/01	books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/chapter.tex	books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/figures/vi01_base_field_hypotheses.tex	table	tab:vi01-base-field-hypotheses	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	separates rational-point and geometric-point hypotheses	Table~\ref{tab:vi01-base-field-hypotheses}	C14_REVIEWED
C14-VI24-FIG	VI	VI/24	books/vol06_algebraic_geometry/chapters/ch24_base_change/chapter.tex	books/vol06_algebraic_geometry/chapters/ch24_base_change/figures/vi24_affine_contravariance_base_change.tex	figure	fig:vi24-affine-contravariance-base-change	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states affine contravariance and tensor-product base change	Figure~\ref{fig:vi24-affine-contravariance-base-change}	C14_REVIEWED
C15-VII-MAP	VII	VII/frontmatter	books/vol07_differential_geometry/book.tex	books/vol07_differential_geometry/frontmatter/series-dependency-map.tex	figure	fig:vii-series-dependencies	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states prerequisite flow is navigational rather than theorem-level	Figure~\ref{fig:vii-series-dependencies}	C15_REVIEWED
C15-VII23-FIG	VII	VII/23	books/vol07_differential_geometry/chapters/ch23_geodesics/chapter.tex	books/vol07_differential_geometry/chapters/ch23_geodesics/c15_exponential_scope.tex	figure	fig:vii23-c15-exponential-scope	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states the local scope and possible global failure of the exponential map	Figure~\ref{fig:vii23-c15-exponential-scope}	C15_REVIEWED
C15-VII23-TAB	VII	VII/23	books/vol07_differential_geometry/chapters/ch23_geodesics/chapter.tex	books/vol07_differential_geometry/chapters/ch23_geodesics/c15_exponential_scope.tex	table	tab:vii23-c15-completeness-distinction	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	separates local exponential-map, completeness, and minimizing claims	Table~\ref{tab:vii23-c15-completeness-distinction}	C15_REVIEWED
C15-VII31-FIG	VII	VII/31	books/vol07_differential_geometry/chapters/ch31_hyperbolic_plane_models/chapter.tex	books/vol07_differential_geometry/chapters/ch31_hyperbolic_plane_models/c15_model_correspondence.tex	figure	fig:vii31-c15-model-correspondence	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states model maps, signature, and model-dependent geodesic forms	Figure~\ref{fig:vii31-c15-model-correspondence}	C15_REVIEWED
