"path"	"artifact_class"	"final_action"	"reason"
"docs/imports/ORPHAN_PRIORITY_RECONCILIATION.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/ORPHAN_SEMANTIC_REFRESH.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/ORPHAN_SEMANTIC_REVIEW_PASS.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/ORPHAN_SOLUTION_EDITORIAL_REVIEW.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/P1_ORPHAN_CARRYFORWARD.md"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/PARTIAL_STRICT_PROMOTION.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/POST_REPAIR_STRICT_PROMOTION.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/POST_REPAIR_STRICT_RESEGMENTATION.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/POST_REPAIR_STRICT_RESIDUAL_DIAGNOSTIC.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/POST_REPAIR_STRICT_RESIDUAL_EDITORIAL.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/POST_REPAIR_STRUCTURAL_STATUS.md"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/PROBLEM_RECONCILIATION_PASS.md"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/PROBLEM_RECONCILIATION_REFINEMENT.md"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/RETAINED_LONG_CHILD_TARGETED_REVIEW.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/REVIEW_SPLIT_DEEP_AUDIT.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/REVIEW_SPLIT_EDITORIAL_PACKET.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/REVIEW_SPLIT_FAMILY_COLLAPSE.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/REVIEW_SPLIT_MERGED_SOFT_RESEGMENTATION.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/REVIEW_SPLIT_PROMOTION.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/REVIEW_SPLIT_SOFT_BOUNDARY_RECOVERY.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/SAFE_STRUCTURAL_SPLIT.md"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/STRICT_INSUFFICIENT_EDITORIAL_DISPOSITIONS.tsv"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/STRONG_ORPHAN_RESOLUTION_PASS.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/STRUCTURAL_INTEGRITY_AUDIT.md"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/STRUCTURAL_REBUILD_PREVIEW.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/STRUCTURAL_REBUILD_PREVIEW_V2.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/STRUCTURAL_REBUILD_PREVIEW_V3.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/STRUCTURAL_STATUS_DISPOSITION_AWARE.md"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/TIER2_EDITORIAL_RESOLUTION.md"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/TIER2_ORPHAN_REVIEW.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"scripts/imports/apply_final_structural_closures.py"	"canonical_tooling"	"KEEP_STAGE"	"Durable transformation, finalization, audit, or reconciliation tool retained for reproducibility."
"scripts/imports/apply_high_conf_long_child_closures.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/apply_long_child_review_dispositions.py"	"canonical_tooling"	"KEEP_STAGE"	"Durable transformation, finalization, audit, or reconciliation tool retained for reproducibility."
"scripts/imports/apply_merged_soft_ready_promotion.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/apply_p1_orphan_carryforward.py"	"canonical_tooling"	"KEEP_STAGE"	"Durable transformation, finalization, audit, or reconciliation tool retained for reproducibility."
"scripts/imports/apply_partial_strict_promotions.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/apply_post_repair_strict_promotions.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/apply_review_split_promotions.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/apply_safe_structural_splits.py"	"canonical_tooling"	"KEEP_STAGE"	"Durable transformation, finalization, audit, or reconciliation tool retained for reproducibility."
"scripts/imports/apply_strong_orphan_resolutions.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/apply_tier2_editorial_resolutions.py"	"canonical_tooling"	"KEEP_STAGE"	"Durable transformation, finalization, audit, or reconciliation tool retained for reproducibility."
"scripts/imports/audit_companion_statement_recovery.py"	"canonical_tooling"	"KEEP_STAGE"	"Durable transformation, finalization, audit, or reconciliation tool retained for reproducibility."
"scripts/imports/audit_final_two_residual_regions.py"	"canonical_tooling"	"KEEP_STAGE"	"Durable transformation, finalization, audit, or reconciliation tool retained for reproducibility."
"scripts/imports/audit_long_child_reviews.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/audit_nested_object_boundary_context.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/audit_post_repair_structural_status.py"	"canonical_tooling"	"KEEP_STAGE"	"Durable transformation, finalization, audit, or reconciliation tool retained for reproducibility."
"scripts/imports/audit_problem_ledger_structure.py"	"canonical_tooling"	"KEEP_STAGE"	"Durable transformation, finalization, audit, or reconciliation tool retained for reproducibility."
"scripts/imports/audit_review_split_containers.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/audit_structural_status_disposition_aware.py"	"canonical_tooling"	"KEEP_STAGE"	"Durable transformation, finalization, audit, or reconciliation tool retained for reproducibility."
"scripts/imports/build_long_child_final_decision_packet.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/build_long_child_unresolved_family_packet.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/build_orphan_priority_reconciliation.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/build_orphan_review_packets.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/build_orphan_review_packets_semantic.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/build_p2_p3_orphan_review_packet.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/build_p2_p3_source_grounded_review.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/build_post_repair_strict_residual_editorial_packet.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/build_retained_long_child_targeted_review.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/build_review_split_editorial_packet.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/build_tier2_orphan_review.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/collapse_review_split_families.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/diagnose_post_repair_strict_residuals.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/finalize_long_child_reconciliation.py"	"canonical_tooling"	"KEEP_STAGE"	"Durable transformation, finalization, audit, or reconciliation tool retained for reproducibility."
"scripts/imports/finalize_two_mixed_containers.py"	"canonical_tooling"	"KEEP_STAGE"	"Durable transformation, finalization, audit, or reconciliation tool retained for reproducibility."
"scripts/imports/preview_merged_soft_resegmentation.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/preview_post_repair_strict_resegmentation.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/preview_structural_rebuild.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/preview_structural_rebuild_v2.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/preview_structural_rebuild_v3.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/recover_review_split_soft_boundaries.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/refine_problem_solution_reconciliation.py"	"canonical_tooling"	"KEEP_STAGE"	"Durable transformation, finalization, audit, or reconciliation tool retained for reproducibility."
"scripts/imports/refresh_orphan_semantic_candidates.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/resolve_missing_companion_statements.py"	"canonical_tooling"	"KEEP_STAGE"	"Durable transformation, finalization, audit, or reconciliation tool retained for reproducibility."
"scripts/imports/validate_orphan_review_packets.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
"scripts/imports/validate_orphan_review_packets_semantic.py"	"superseded_working_tool"	"REMOVE_IGNORE"	"One-off preview, packet-builder, candidate-refresh, or superseded intermediate workflow not part of the durable reconciliation spine."
