chapter_code	dossier_index	dossier_label	dossier_title	origin	source_file	source_block_id	source_selector	source_topic	provenance_note
I/03	7	prob:i03-dossier-07	Full-dimension subspace	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/03	8	prob:i03-dossier-08	Trace-zero matrices	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/03	9	prob:i03-dossier-09	Coordinate uniqueness	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/03	10	prob:i03-dossier-10	Finite versus infinite dimension	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/03	11	prob:i03-dossier-11	Direct-sum dimension	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/03	12	prob:i03-dossier-12	Basis synthesis	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/04	1	prob:i04-dossier-01	Transition matrix from columns	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T04.SECTION	coordinate|change of basis	coordinates and basis change	Topic guidance only; dossier statement and solution are newly written canonical content.
I/04	2	prob:i04-dossier-02	Coordinates of a polynomial	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T04.EXERCISE_CHILDREN	descendant-of(coordinate|change of basis)	problem|exercise|solution|worked problem	Topic guidance only; dossier statement and solution are newly written canonical content.
I/04	3	prob:i04-dossier-03	Cocycle identity	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T04.THEORY_CHILDREN	descendant-of(coordinate|change of basis)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Topic guidance only; dossier statement and solution are newly written canonical content.
I/04	4	prob:i04-dossier-04	A badly conditioned basis	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/04	5	prob:i04-dossier-05	Permutation of basis vectors	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/04	6	prob:i04-dossier-06	Scaling a basis	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/04	7	prob:i04-dossier-07	Coordinates versus objects	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/04	8	prob:i04-dossier-08	Dual transformation	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/04	9	prob:i04-dossier-09	Coordinate map isomorphism	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/04	10	prob:i04-dossier-10	Three-basis computation	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/04	11	prob:i04-dossier-11	Basis from columns	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/04	12	prob:i04-dossier-12	Coordinate synthesis	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/05	1	prob:i05-dossier-01	Basis images determine a map	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T05.SECTION	linear map|linear transformation	linear maps	Topic guidance only; dossier statement and solution are newly written canonical content.
I/05	2	prob:i05-dossier-02	Detecting nonlinearity quickly	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T05.EXERCISE_CHILDREN	descendant-of(linear map|linear transformation)	problem|exercise|solution|worked problem	Topic guidance only; dossier statement and solution are newly written canonical content.
I/05	3	prob:i05-dossier-03	Differentiation as an operator	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T05.THEORY_CHILDREN	descendant-of(linear map|linear transformation)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Topic guidance only; dossier statement and solution are newly written canonical content.
I/05	4	prob:i05-dossier-04	Composition order	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/05	5	prob:i05-dossier-05	A nilpotent map	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/05	6	prob:i05-dossier-06	Evaluation functional	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/05	7	prob:i05-dossier-07	Inverse linearity	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/05	8	prob:i05-dossier-08	Zero map versus zero vector	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/05	9	prob:i05-dossier-09	A projection decomposition	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/05	10	prob:i05-dossier-10	A linear map from a formula	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/05	11	prob:i05-dossier-11	Restriction to a subspace	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/05	12	prob:i05-dossier-12	Operator synthesis	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/06	1	prob:i06-dossier-01	Rank-nullity from equations	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T06.SECTION	kernel|image|isomorphism	kernel image isomorphism	Topic guidance only; dossier statement and solution are newly written canonical content.
I/06	2	prob:i06-dossier-02	Kernel detects injectivity	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T06.EXERCISE_CHILDREN	descendant-of(kernel|image|isomorphism)	problem|exercise|solution|worked problem	Topic guidance only; dossier statement and solution are newly written canonical content.
I/06	3	prob:i06-dossier-03	First isomorphism theorem	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T06.THEORY_CHILDREN	descendant-of(kernel|image|isomorphism)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Topic guidance only; dossier statement and solution are newly written canonical content.
I/06	4	prob:i06-dossier-04	Trace kernel	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/06	5	prob:i06-dossier-05	Image of differentiation	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/06	6	prob:i06-dossier-06	Injective endomorphism	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/06	7	prob:i06-dossier-07	A quotient dimension	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/06	8	prob:i06-dossier-08	Rank under composition	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/06	9	prob:i06-dossier-09	Same kernel, different maps	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/06	10	prob:i06-dossier-10	Surjective map splitting	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/06	11	prob:i06-dossier-11	Kernel of a matrix operator	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/06	12	prob:i06-dossier-12	Structural synthesis	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/07	1	prob:i07-dossier-01	Matrix from basis images	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T07.SECTION	matrix representation|matrix of a linear map	matrix representation	Topic guidance only; dossier statement and solution are newly written canonical content.
I/07	2	prob:i07-dossier-02	Composition matrix	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T07.EXERCISE_CHILDREN	descendant-of(matrix representation|matrix of a linear map)	problem|exercise|solution|worked problem	Topic guidance only; dossier statement and solution are newly written canonical content.
I/07	3	prob:i07-dossier-03	Similarity from basis change	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T07.THEORY_CHILDREN	descendant-of(matrix representation|matrix of a linear map)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Topic guidance only; dossier statement and solution are newly written canonical content.
I/07	4	prob:i07-dossier-04	Derivative matrix	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/07	5	prob:i07-dossier-05	Rank from columns	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/07	6	prob:i07-dossier-06	Elementary matrix meaning	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/07	7	prob:i07-dossier-07	Inverse matrix as inverse map	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/07	8	prob:i07-dossier-08	Rectangular matrix	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/07	9	prob:i07-dossier-09	Same operator, different matrices	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/07	10	prob:i07-dossier-10	Projection matrix	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/07	11	prob:i07-dossier-11	Column space and image	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/07	12	prob:i07-dossier-12	Matrix synthesis	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/08	1	prob:i08-dossier-01	Determinant by elimination	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	OVR.I_08.SECTION	determinant|trace|oriented volume|volume scaling	determinants, trace, and determinant-as-volume material	Topic guidance only; dossier statement and solution are newly written canonical content.
I/08	2	prob:i08-dossier-02	Effect of a row replacement	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	OVR.I_08.EXERCISE_CHILDREN	descendant-of(determinant|trace|oriented volume|volume scaling)	problem|exercise|solution|worked problem	Topic guidance only; dossier statement and solution are newly written canonical content.
I/08	3	prob:i08-dossier-03	Area scaling	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	OVR.I_08.THEORY_CHILDREN	descendant-of(determinant|trace|oriented volume|volume scaling)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Topic guidance only; dossier statement and solution are newly written canonical content.
I/08	4	prob:i08-dossier-04	Invertibility test	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/08	5	prob:i08-dossier-05	Trace cyclicity	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/08	6	prob:i08-dossier-06	Similarity invariants	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/08	7	prob:i08-dossier-07	Determinant of a reflection	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/08	8	prob:i08-dossier-08	Determinant of a shear	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/08	9	prob:i08-dossier-09	Trace of rank one	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/08	10	prob:i08-dossier-10	Block triangular determinant	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/08	11	prob:i08-dossier-11	Orientation test	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/08	12	prob:i08-dossier-12	Determinant synthesis	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/09	1	prob:i09-dossier-01	Defective shear	CORPUS_GUIDED	theory-of-linear-algebra-2.tex	T01.SECTION	eigenvalue|eigenvector|characteristic polynomial	eigenvalues and eigenvectors	Topic guidance only; dossier statement and solution are newly written canonical content.
I/09	2	prob:i09-dossier-02	Rotation and complexification	CORPUS_GUIDED	theory-of-linear-algebra-2.tex	T01.EXERCISE_CHILDREN	descendant-of(eigenvalue|eigenvector|characteristic polynomial)	problem|exercise|solution|worked problem	Topic guidance only; dossier statement and solution are newly written canonical content.
I/09	3	prob:i09-dossier-03	Parameter collision	CORPUS_GUIDED	theory-of-linear-algebra-2.tex	T01.THEORY_CHILDREN	descendant-of(eigenvalue|eigenvector|characteristic polynomial)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Topic guidance only; dossier statement and solution are newly written canonical content.
I/09	4	prob:i09-dossier-04	Eigenvectors of powers	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/09	5	prob:i09-dossier-05	Zero eigenvalue and singularity	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/09	6	prob:i09-dossier-06	Distinct eigenvectors	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/09	7	prob:i09-dossier-07	Triangular spectrum	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/09	8	prob:i09-dossier-08	Eigenspace as kernel	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/09	9	prob:i09-dossier-09	Eigenvalue of an inverse	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/09	10	prob:i09-dossier-10	Trace and eigenvalues	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/09	11	prob:i09-dossier-11	Determinant and eigenvalues	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/09	12	prob:i09-dossier-12	Spectral synthesis	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/10	1	prob:i10-dossier-01	Invariant line	CORPUS_GUIDED	theory-of-linear-algebra-2.tex	T02.SECTION	invariant subspace|triangular	invariant subspaces and triangularization	Topic guidance only; dossier statement and solution are newly written canonical content.
I/10	2	prob:i10-dossier-02	Block form from invariance	CORPUS_GUIDED	theory-of-linear-algebra-2.tex	T02.EXERCISE_CHILDREN	descendant-of(invariant subspace|triangular)	problem|exercise|solution|worked problem	Topic guidance only; dossier statement and solution are newly written canonical content.
I/10	3	prob:i10-dossier-03	Quotient operator	CORPUS_GUIDED	theory-of-linear-algebra-2.tex	T02.THEORY_CHILDREN	descendant-of(invariant subspace|triangular)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Topic guidance only; dossier statement and solution are newly written canonical content.
I/10	4	prob:i10-dossier-04	Flag criterion	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/10	5	prob:i10-dossier-05	Triangularization over $\mathbb C$	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/10	6	prob:i10-dossier-06	Failure over $\mathbb R$	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/10	7	prob:i10-dossier-07	Polynomial invariant subspaces	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/10	8	prob:i10-dossier-08	Invariant complement need not exist	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/10	9	prob:i10-dossier-09	Restriction spectrum	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/10	10	prob:i10-dossier-10	Nested kernels	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/10	11	prob:i10-dossier-11	Diagonal form as strongest triangular form	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/10	12	prob:i10-dossier-12	Invariant-subspace synthesis	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/11	1	prob:i11-dossier-01	Projection minimal polynomial	CORPUS_GUIDED	theory-of-linear-algebra-2.tex	T03.SECTION	diagonal|minimal polynomial	diagonalization minimal polynomial	Topic guidance only; dossier statement and solution are newly written canonical content.
I/11	2	prob:i11-dossier-02	Involution	CORPUS_GUIDED	theory-of-linear-algebra-2.tex	T03.EXERCISE_CHILDREN	descendant-of(diagonal|minimal polynomial)	problem|exercise|solution|worked problem	Topic guidance only; dossier statement and solution are newly written canonical content.
I/11	3	prob:i11-dossier-03	Shear obstruction	CORPUS_GUIDED	theory-of-linear-algebra-2.tex	T03.THEORY_CHILDREN	descendant-of(diagonal|minimal polynomial)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Topic guidance only; dossier statement and solution are newly written canonical content.
I/11	4	prob:i11-dossier-04	Eigenspace dimension test	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/11	5	prob:i11-dossier-05	Minimal polynomial from diagonal data	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/11	6	prob:i11-dossier-06	Annihilating polynomial divisibility	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/11	7	prob:i11-dossier-07	Spectral projectors	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/11	8	prob:i11-dossier-08	Repeated characteristic root	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/11	9	prob:i11-dossier-09	Direct eigenspace sum	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/11	10	prob:i11-dossier-10	Diagonalization by eigenbasis	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/11	11	prob:i11-dossier-11	Polynomial functional test	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/11	12	prob:i11-dossier-12	Diagonalization synthesis	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/12	1	prob:i12-dossier-01	Nilpotent chain	CORPUS_GUIDED	theory-of-linear-algebra-2.tex	T04.SECTION	Jordan|canonical form|rational canonical	canonical forms	Topic guidance only; dossier statement and solution are newly written canonical content.
I/12	2	prob:i12-dossier-02	Two nilpotent blocks	CORPUS_GUIDED	theory-of-linear-algebra-2.tex	T04.EXERCISE_CHILDREN	descendant-of(Jordan|canonical form|rational canonical)	problem|exercise|solution|worked problem	Topic guidance only; dossier statement and solution are newly written canonical content.
I/12	3	prob:i12-dossier-03	Geometric multiplicity in Jordan form	CORPUS_GUIDED	theory-of-linear-algebra-2.tex	T04.THEORY_CHILDREN	descendant-of(Jordan|canonical form|rational canonical)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Topic guidance only; dossier statement and solution are newly written canonical content.
I/12	4	prob:i12-dossier-04	Minimal polynomial from blocks	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/12	5	prob:i12-dossier-05	Diagonalizability from blocks	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/12	6	prob:i12-dossier-06	Generalized eigenspace	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/12	7	prob:i12-dossier-07	Primary decomposition idea	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/12	8	prob:i12-dossier-08	Real versus complex canonical form	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/12	9	prob:i12-dossier-09	Companion matrix	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
