orphan_semantic_unit_id	member_count	source_candidate_count	semantic_candidate_count	top_candidate_statement_hash	top_representative_problem_id	top_equivalent_problem_count	top_score	second_score	margin	strong_review_candidate	recommended_action
SOLSEM-8537456DF531	2	16	7	5988d53d7adda241be7f0d55908919e52ce9721f378a02807f4d1f7fdb2a11c0	IMP-DL-4A78994322-P001	2	0.2816	0.1680	0.1135	NO	EDITORIAL_REVIEW
SOLSEM-88D5C8262602	6	34	12	01a65ef054e5c205c68ae19f5a3e1d679fff7d8d918699852978f07fe084ea16	IMP-DL-3C59D9EE8B-P031	2	0.4191	0.3809	0.0382	NO	EDITORIAL_REVIEW
SOLSEM-8BD310C9A992	2	14	7	28d0b50337307d12800267efb8f08885f21ddaa6c00dde9cc2447bc7442d9bbf	IMP-DL-B7B63B4C41-P009	2	0.4859	0.1776	0.3083	NO	EDITORIAL_REVIEW
SOLSEM-8E73EDBB9A23	2	16	8	08b6e0b9e543d49a864d209d6b0514566277236b9a3689341d86565702bfd37d	IMP-DL-117191C0EC-P053	2	0.4914	0.4170	0.0744	NO	EDITORIAL_REVIEW
SOLSEM-915565817DA3	2	14	7	e6163907f56fda5c36a733a4f89dd9965815057e9d1a75f20cde1b076a1aeb44	IMP-DL-D4351A3BBD-P035	2	0.4728	0.3339	0.1389	NO	EDITORIAL_REVIEW
SOLSEM-94664AFC5677	2	12	6	78d543eafa9f6722f46a89274c4c2727c2b33c2ded0f85063581f1c162e870de	IMP-DL-B7B63B4C41-P010	2	0.3760	0.1225	0.2534	NO	EDITORIAL_REVIEW
SOLSEM-958B53520F81	2	13	7	a1a99f9baf1acb3d2557709d53ed59df9aee4e3a2a9881d1c6aa24bf7b8f5fa1	IMP-DL-E88547CF67-P016	2	0.1498	0.1488	0.0011	NO	EDITORIAL_REVIEW
SOLSEM-9E20A3B8BA92	2	14	7	6adf3ff2435db15399357118360fdb1758a7d984a64d7a541d15cadcb8436b68	IMP-DL-11EDF39EA7-P005	2	0.4032	0.3516	0.0516	NO	EDITORIAL_REVIEW
SOLSEM-A3E4B3F720CA	6	44	10	d55ff1450a44dc8970351810a1371254b7a77b8c28f7634ce6910d7ea6c50145	IMP-DL-15679DEE8D-P004	6	0.6059	0.5258	0.0801	NO	EDITORIAL_REVIEW
SOLSEM-AD6A0593A50F	2	16	8	7ba6067e02c430652238ef21ca29a73e5937aa84277a3892eada07d8b3c1cb8e	IMP-DL-40BD8D3E26-P002	2	0.6093	0.5692	0.0401	NO	EDITORIAL_REVIEW
SOLSEM-AE243A62188D	2	16	8	342cde71220e8928ead53042a1b221cfcf6617f72bf5ef8a75b3085ef1a9e64b	IMP-DL-CB3C80FF97-P022	2	0.4695	0.4202	0.0493	NO	EDITORIAL_REVIEW
SOLSEM-AEA4A9DC1681	6	46	10	052f0120dbff5961d1808442323dddc29a97b35d21a57b43a8f1a5fded33bb2d	IMP-DL-3CA1CB77F7-P009	4	0.4086	0.3334	0.0752	NO	EDITORIAL_REVIEW
SOLSEM-B13E4C22612E	2	14	7	8bff6914b64449b8b0ca1b9459322e2ad8cf6f069fb18da464952c328728d707	IMP-DL-EAE0F59552-P001	2	0.4071	0.3891	0.0180	NO	EDITORIAL_REVIEW
SOLSEM-B3DA4C4421B4	2	16	8	c91992cb8eeb57cc6b36dd8307a23e64d5b11235dcc7ccbeeb852c47090d232f	IMP-DL-CB3C80FF97-P003	2	0.4110	0.3948	0.0162	NO	EDITORIAL_REVIEW
SOLSEM-B4C1AC5BB2F9	2	16	8	20461b9274f9b1e8ced772cb6b84824200aea4cc9dd49e5c2ff89e16c44fb375	IMP-DL-F77C60E8D1-P006	2	0.4307	0.3970	0.0337	NO	EDITORIAL_REVIEW
SOLSEM-B93AC2DB5FEE	2	12	6	a10fe88152a48ea2000933750bb85da1288b86cc7b133b167b4a98481eee6575	IMP-DL-0EB9CBD958-P083	2	0.2755	0.1575	0.1180	NO	EDITORIAL_REVIEW
SOLSEM-B93C6150B2EC	6	46	12	ba886d9ee8dead4ade6cfde94b8ba9880942ad6148439f89f5683be32f03ff7c	IMP-DL-15679DEE8D-P010	6	0.4116	0.3523	0.0593	NO	EDITORIAL_REVIEW
SOLSEM-BB1FDE3F5EA8	2	16	8	07431c44db28bd1f9b0a2d5300a5d4afc3af095723cb3a79391e98e58e4f6c18	IMP-DL-CB3C80FF97-P005	2	0.5231	0.4739	0.0492	NO	EDITORIAL_REVIEW
SOLSEM-C1AF7EA194A7	4	10	5	dc6f0314dbe106bf93142769fc4804a8bcddbfcd50388061236e88fb12c03261	IMP-DL-535B6F59C6-P003	2	0.0672	0.0453	0.0219	NO	EDITORIAL_REVIEW
SOLSEM-C3C90BDDEA5E	2	16	8	427d190f62b54c2084d3532e76b1572719b054499dd74fd6e530ebdb1edf84f1	IMP-DL-9DE2876887-P001	2	0.2966	0.2643	0.0323	NO	EDITORIAL_REVIEW
SOLSEM-CC3D2F5A621D	6	46	10	ba886d9ee8dead4ade6cfde94b8ba9880942ad6148439f89f5683be32f03ff7c	IMP-DL-3CA1CB77F7-P010	4	0.3737	0.3467	0.0271	NO	EDITORIAL_REVIEW
SOLSEM-CE63E5676102	2	10	5	862807194ef6d73765cbb44a6f49638d3e2ce3d20407c801acfdc0a4ccf288bc	IMP-DL-A470D9BACB-P015	2	0.2360	0.2251	0.0109	NO	EDITORIAL_REVIEW
SOLSEM-CF0189361804	4	16	7	2300acad0d220f024e5aafdb33dad4c78eda6830670d65100529a5b743604f29	IMP-DL-3C59D9EE8B-P110	2	0.4579	0.4074	0.0505	NO	EDITORIAL_REVIEW
SOLSEM-D2D9EC3193A9	2	10	5	52cc7610cae57f2e5a4ec63f62bbb4bf44d855a2e2bacac5b914640474ca3d0b	IMP-DL-7A55205E2C-P003	2	0.2716	0.2658	0.0058	NO	EDITORIAL_REVIEW
SOLSEM-DC428356191D	2	16	8	342cde71220e8928ead53042a1b221cfcf6617f72bf5ef8a75b3085ef1a9e64b	IMP-DL-CB3C80FF97-P022	2	0.3875	0.3708	0.0168	NO	EDITORIAL_REVIEW
SOLSEM-DCFE8DCA7990	2	16	8	8bff6914b64449b8b0ca1b9459322e2ad8cf6f069fb18da464952c328728d707	IMP-DL-EAE0F59552-P001	2	0.4998	0.3590	0.1408	NO	EDITORIAL_REVIEW
SOLSEM-DE60695D66E5	4	16	7	bdfef9dea3e87a2b800ab022d97e5a373121a699052f690d2f3bba47e8c1a908	IMP-DL-1068DBED71-P053	4	0.4565	0.2422	0.2142	NO	EDITORIAL_REVIEW
SOLSEM-DFADE3F604D1	2	16	8	833e3ed0e8d1a2afb8e0c93e13c99a442a3befaf605457489af924c093a30046	IMP-DL-98972A6B93-P011	2	0.5350	0.4696	0.0654	NO	EDITORIAL_REVIEW
SOLSEM-E1C7298294B9	6	44	11	37265362bb2ed94dc1a3301a24d97e1b3522557554eebea76aa24d441feedde1	IMP-DL-15679DEE8D-P007	6	0.4333	0.3936	0.0396	NO	EDITORIAL_REVIEW
SOLSEM-E2F0EC0A8FB7	2	16	8	efb86b28aca0d431b111975c48163511ca44cebaba71b490580da23d6275cfbb	IMP-DL-E1F1BB4192-P008	2	0.4074	0.4019	0.0055	NO	EDITORIAL_REVIEW
SOLSEM-EAF3CE18ED2B	2	10	5	1d8d1938685005ec228c38493f3d940cc1840d76d97ada6c0597efc27a2e632d	IMP-DL-7A55205E2C-P002	2	0.2737	0.2420	0.0318	NO	EDITORIAL_REVIEW
SOLSEM-EBCCAEB05555	1	8	8	c5a146d49c9a07178db5293cb59f20cfb4811905a36e8d9f4fe9aaa07e678225	IMP-DL-721195CCB5-P011	1	0.1894	0.1370	0.0524	NO	EDITORIAL_REVIEW
SOLSEM-F0C1695725CA	4	5	2	50f0f53fe2172b81ca447c0ae76509251a04ea564c5a18470f741916d3c7ae04	IMP-DL-183AD43C4C-P023	4	0.3954	0.1188	0.2767	NO	EDITORIAL_REVIEW
SOLSEM-F23AA3472752	4	16	7	48e106663abe2e4f5c20ba032a95547803eb2c1dcd5c9adb9712fd19f158c831	IMP-DL-1068DBED71-P002	4	0.3563	0.1498	0.2065	NO	EDITORIAL_REVIEW
SOLSEM-F310C1FA1496	4	30	8	5b274109062835a1bdf3cc827e9ecf7bb0d0d5039bf5cebc6e732df382fb1e08	IMP-DL-1068DBED71-P059	4	0.3523	0.3088	0.0434	NO	EDITORIAL_REVIEW
SOLSEM-F972DAAC2A87	4	24	8	95f990e2c475094e91914c8b1165b623ae873e09bdd2f783b395b2d110145896	IMP-DL-1068DBED71-P017	4	0.3112	0.3000	0.0112	NO	EDITORIAL_REVIEW
SOLSEM-F9F723134526	2	16	8	04a4d2eba6b2b75dab5c0fa6cc2e09c9d098f633a4a304ee064b1c0a47cf5dc1	IMP-DL-9DE2876887-P002	2	0.3629	0.2961	0.0668	NO	EDITORIAL_REVIEW
SOLSEM-FFAE6708F349	2	16	8	c91992cb8eeb57cc6b36dd8307a23e64d5b11235dcc7ccbeeb852c47090d232f	IMP-DL-CB3C80FF97-P003	2	0.5099	0.3757	0.1342	NO	EDITORIAL_REVIEW
