long_review_family_id	representative_problem_id	representative_source_file	member_count	source_line_range	line_span	source_heading	broad_solution_markers	statement_headings	implicit_object_candidates	exposition_headings	post_solution_exposition_headings	proposed_editorial_action	proposal_confidence	rationale
LCR-012	IMP-DL-ACE5A65961-PSR002461-36AA55A9	Downloads/theory-of-commutative-algebra-2.tex	2	L2461-L3105	645		0	0	1	11	0	RESEGMENT_NONSTANDARD_BOUNDARY	HIGH	A heading inside the long object appears to introduce another problem/statement structure.
LCR-013	IMP-DL-721195CCB5-PSR004607-99806BF8	Downloads/theory-of-algebraic-geometry-11.tex	1	L4607-L5224	618		0	0	1	4	0	RESEGMENT_NONSTANDARD_BOUNDARY	HIGH	A heading inside the long object appears to introduce another problem/statement structure.
LCR-014	IMP-DL-EAE0F59552-PSR001065-6AB7FE80	Downloads/theory-of-analysis-topology.tex	2	L1065-L1646	582		7	0	1	2	2	RESEGMENT_NONSTANDARD_BOUNDARY	HIGH	A heading inside the long object appears to introduce another problem/statement structure.
LCR-015	IMP-DL-183AD43C4C-PSR002637-86F3B19E	Downloads/theory-of-real-analysis.tex	2	L2637-L3175	539		0	0	1	3	0	RESEGMENT_NONSTANDARD_BOUNDARY	HIGH	A heading inside the long object appears to introduce another problem/statement structure.
LCR-016	IMP-DL-8D5CF4CFBA-PSR001118-D52E5A84	Downloads/theory-of-linear-algebra-2.tex	2	L1118-L1621	504		4	0	1	7	5	RESEGMENT_NONSTANDARD_BOUNDARY	HIGH	A heading inside the long object appears to introduce another problem/statement structure.
LCR-018	IMP-DL-6B513C0C2F-PSR004820-DD7FCF02	Downloads/theory-of-algebraic-geometry-10.tex	1	L4820-L5271	452		0	0	0	4	0	CONFIRM_SINGLE_LONG_OBJECT	MEDIUM	No nested independent problem boundary or solution split was detected; length alone is not sufficient reason to split.
LCR-019	IMP-DL-721195CCB5-PSR005225-E90913A1	Downloads/theory-of-algebraic-geometry-11.tex	1	L5225-L5570	346		0	0	0	2	0	CONFIRM_SINGLE_LONG_OBJECT	MEDIUM	No nested independent problem boundary or solution split was detected; length alone is not sufficient reason to split.
LCR-021	IMP-DL-E4D9F7AB6B-PSR005605-41E6B029	Downloads/theory-of-algebraic-topology-13.tex	1	L5605-L5948	344		0	0	0	1	0	CONFIRM_SINGLE_LONG_OBJECT	MEDIUM	No nested independent problem boundary or solution split was detected; length alone is not sufficient reason to split.
LCR-022	IMP-DL-6B513C0C2F-PSR002060-721DE972	Downloads/theory-of-algebraic-geometry-10.tex	1	L2060-L2376	317		0	0	0	1	0	CONFIRM_SINGLE_LONG_OBJECT	MEDIUM	No nested independent problem boundary or solution split was detected; length alone is not sufficient reason to split.
LCR-023	IMP-DL-067214B351-PSR001365-AF6BBF79	Downloads/theory-of-algebraic-topology-15.tex	1	L1365-L1675	311		0	0	0	1	0	CONFIRM_SINGLE_LONG_OBJECT	MEDIUM	No nested independent problem boundary or solution split was detected; length alone is not sufficient reason to split.
LCR-024	IMP-DL-6B513C0C2F-PSR003372-4CB5325E	Downloads/theory-of-algebraic-geometry-10.tex	1	L3372-L3646	275		0	0	0	3	0	CONFIRM_SINGLE_LONG_OBJECT	MEDIUM	No nested independent problem boundary or solution split was detected; length alone is not sufficient reason to split.
LCR-026	IMP-DL-0EB9CBD958-PSR005095-8C10C036	Downloads/theory-of-geometry.tex	2	L5095-L5363	269		0	0	1	0	0	RESEGMENT_NONSTANDARD_BOUNDARY	HIGH	A heading inside the long object appears to introduce another problem/statement structure.
