chapter_code	dossier_index	dossier_label	dossier_title	origin	source_file	source_block_id	source_selector	source_topic	note
V/01	12	prob:v01-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/02	1	prob:v02-dossier-01	Prime ideals diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-1.tex	OVR.V_02.SECTION	prime ideal|maximal ideal|A/\\mathfrak m.*field	prime and maximal ideal definitions, criteria, and examples	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/02	2	prob:v02-dossier-02	Maximal ideals diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-1.tex	OVR.V_02.EXERCISE_CHILDREN	descendant-of(prime ideal|maximal ideal|A/\\mathfrak m.*field)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/02	3	prob:v02-dossier-03	Quotient criteria diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-1.tex	OVR.V_02.THEORY_CHILDREN	descendant-of(prime ideal|maximal ideal|A/\\mathfrak m.*field)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/02	4	prob:v02-dossier-04	Existence of maximal ideals diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/02	5	prob:v02-dossier-05	Contraction diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/02	6	prob:v02-dossier-06	Prime chains diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/02	7	prob:v02-dossier-07	Units and maximal ideals diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/02	8	prob:v02-dossier-08	Examples diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/02	9	prob:v02-dossier-09	Prime quotient criterion proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/02	10	prob:v02-dossier-10	Maximal quotient criterion proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/02	11	prob:v02-dossier-11	Maximal implies prime proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/02	12	prob:v02-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/03	1	prob:v03-dossier-01	Nilpotent elements diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-1.tex	OVR.V_03.SECTION	radical ideal|\\sqrt\{?I\}?|nilpotent|nilradical|reduced ring	radical ideals, nilpotents, nilradical, and reduced quotient algebra	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/03	2	prob:v03-dossier-02	Nilradical diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-1.tex	OVR.V_03.EXERCISE_CHILDREN	descendant-of(radical ideal|\\sqrt\{?I\}?|nilpotent|nilradical|reduced ring)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/03	3	prob:v03-dossier-03	Radical of an ideal diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-1.tex	OVR.V_03.THEORY_CHILDREN	descendant-of(radical ideal|\\sqrt\{?I\}?|nilpotent|nilradical|reduced ring)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/03	4	prob:v03-dossier-04	Radical ideals diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/03	5	prob:v03-dossier-05	Quotient interpretation diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/03	6	prob:v03-dossier-06	Prime containment diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/03	7	prob:v03-dossier-07	Reduced rings diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/03	8	prob:v03-dossier-08	Examples diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/03	9	prob:v03-dossier-09	Radical is an ideal proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/03	10	prob:v03-dossier-10	Quotient nilradical identity proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/03	11	prob:v03-dossier-11	Radical as intersection of primes proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/03	12	prob:v03-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/04	1	prob:v04-dossier-01	Comaximal ideals diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-1.tex	T01.SECTION	Chinese remainder|coprime ideals	Chinese remainder	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/04	2	prob:v04-dossier-02	Two-ideal CRT diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-11.tex	T01.SECTION	coprime|comaximal	coprime ideals	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/04	3	prob:v04-dossier-03	Product equals intersection diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-11.tex	T02.SECTION	Chinese remainder	Chinese remainder	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/04	4	prob:v04-dossier-04	Finite families diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-1.tex	T01.EXERCISE_CHILDREN	descendant-of(Chinese remainder|coprime ideals)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/04	5	prob:v04-dossier-05	Explicit idempotents diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-1.tex	T01.THEORY_CHILDREN	descendant-of(Chinese remainder|coprime ideals)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/04	6	prob:v04-dossier-06	Integer congruences diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-11.tex	T01.EXERCISE_CHILDREN	descendant-of(coprime|comaximal)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/04	7	prob:v04-dossier-07	Polynomial interpolation form diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-11.tex	T01.THEORY_CHILDREN	descendant-of(coprime|comaximal)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/04	8	prob:v04-dossier-08	Decomposition philosophy diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-11.tex	T02.EXERCISE_CHILDREN	descendant-of(Chinese remainder)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/04	9	prob:v04-dossier-09	Two-ideal Chinese remainder theorem proof dossier	CORPUS_GUIDED	theory-of-commutative-algebra-11.tex	T02.THEORY_CHILDREN	descendant-of(Chinese remainder)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/04	10	prob:v04-dossier-10	Intersection-product equality proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/04	11	prob:v04-dossier-11	Finite CRT proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/04	12	prob:v04-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/05	1	prob:v05-dossier-01	Multiplicative subsets diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-1.tex	T02.SECTION	localization|multiplicative set	localization	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/05	2	prob:v05-dossier-02	Saturation diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-1.tex	T02.EXERCISE_CHILDREN	descendant-of(localization|multiplicative set)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/05	3	prob:v05-dossier-03	Examples diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-1.tex	T02.THEORY_CHILDREN	descendant-of(localization|multiplicative set)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/05	4	prob:v05-dossier-04	Disjointness from ideals diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/05	5	prob:v05-dossier-05	Prime avoidance viewpoint diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/05	6	prob:v05-dossier-06	Denominator calculus diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/05	7	prob:v05-dossier-07	Universal goal diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/05	8	prob:v05-dossier-08	Geometric preview diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/05	9	prob:v05-dossier-09	Maximal disjoint ideal is prime proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/05	10	prob:v05-dossier-10	Complement of prime is multiplicative proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/05	11	prob:v05-dossier-11	Powers form a multiplicative set proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/05	12	prob:v05-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/06	1	prob:v06-dossier-01	Fraction construction diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-7.tex	T01.SECTION	localization|S^{-1}|A_f	localization examples	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/06	2	prob:v06-dossier-02	Ring operations diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-7.tex	T01.EXERCISE_CHILDREN	descendant-of(localization|S^{-1}|A_f)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/06	3	prob:v06-dossier-03	Canonical map diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-7.tex	T01.THEORY_CHILDREN	descendant-of(localization|S^{-1}|A_f)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/06	4	prob:v06-dossier-04	Universal property diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/06	5	prob:v06-dossier-05	Zero criterion diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/06	6	prob:v06-dossier-06	Localized ideals diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/06	7	prob:v06-dossier-07	Prime correspondence diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/06	8	prob:v06-dossier-08	Localization at an element diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/06	9	prob:v06-dossier-09	Universal property of localization proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/06	10	prob:v06-dossier-10	Prime correspondence proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/06	11	prob:v06-dossier-11	Localization commutes with quotient proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/06	12	prob:v06-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/07	1	prob:v07-dossier-01	Module fractions diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-14.tex	T02.SECTION	exact|localization exact	exactness of localization	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/07	2	prob:v07-dossier-02	Scalar structure diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-7.tex	T02.SECTION	localization of modules|M_f	localization modules	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/07	3	prob:v07-dossier-03	Universal property diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-14.tex	T02.EXERCISE_CHILDREN	descendant-of(exact|localization exact)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/07	4	prob:v07-dossier-04	Tensor description diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-14.tex	T02.THEORY_CHILDREN	descendant-of(exact|localization exact)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/07	5	prob:v07-dossier-05	Exactness diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-7.tex	T02.EXERCISE_CHILDREN	descendant-of(localization of modules|M_f)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/07	6	prob:v07-dossier-06	Submodules and quotients diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-7.tex	T02.THEORY_CHILDREN	descendant-of(localization of modules|M_f)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/07	7	prob:v07-dossier-07	Vanishing criterion diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/07	8	prob:v07-dossier-08	Finite generation diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/07	9	prob:v07-dossier-09	Tensor description of localization proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/07	10	prob:v07-dossier-10	Exactness of localization proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/07	11	prob:v07-dossier-11	Localization commutes with quotient proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/07	12	prob:v07-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/08	1	prob:v08-dossier-01	Local rings diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-14.tex	T01.SECTION	localization|prime	localization at primes	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/08	2	prob:v08-dossier-02	Nonunits diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-3.tex	T02.SECTION	residue field|local ring	local/residue fields	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/08	3	prob:v08-dossier-03	Unit criterion diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-3.tex	T03.SECTION	splitting field|field extension	field extensions/splitting	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/08	4	prob:v08-dossier-04	Localization at primes diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-7.tex	T03.SECTION	local ring|A_p|localization at prime	local rings at primes	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/08	5	prob:v08-dossier-05	Residue field diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-14.tex	T01.EXERCISE_CHILDREN	descendant-of(localization|prime)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/08	6	prob:v08-dossier-06	Nakayama preview diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-14.tex	T01.THEORY_CHILDREN	descendant-of(localization|prime)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/08	7	prob:v08-dossier-07	Local homomorphisms diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-3.tex	T02.EXERCISE_CHILDREN	descendant-of(residue field|local ring)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/08	8	prob:v08-dossier-08	Examples diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-3.tex	T02.THEORY_CHILDREN	descendant-of(residue field|local ring)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/08	9	prob:v08-dossier-09	Nonunits characterize local rings proof dossier	CORPUS_GUIDED	theory-of-commutative-algebra-3.tex	T03.EXERCISE_CHILDREN	descendant-of(splitting field|field extension)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/08	10	prob:v08-dossier-10	Prime localization is local proof dossier	CORPUS_GUIDED	theory-of-commutative-algebra-3.tex	T03.THEORY_CHILDREN	descendant-of(splitting field|field extension)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/08	11	prob:v08-dossier-11	Residue field identification proof dossier	CORPUS_GUIDED	theory-of-commutative-algebra-7.tex	T03.EXERCISE_CHILDREN	descendant-of(local ring|A_p|localization at prime)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/08	12	prob:v08-dossier-12	Chapter synthesis	CORPUS_GUIDED	theory-of-commutative-algebra-7.tex	T03.THEORY_CHILDREN	descendant-of(local ring|A_p|localization at prime)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
