label	chapter	status	hint
exr:ii21-04	II/21	PASS	If a constructive approximant is given, estimate its error directly in the sup norm.
exr:ii21-05	II/21	PASS	Density means every \(\varepsilon>0\) admits some polynomial approximant; do not confuse this with convergence of one fixed sequence unless specified.
exr:ii21-06	II/21	PASS	Density means every epsilon-ball around a continuous function contains a polynomial; it does not mean exact equality.
exr:ii21-07	II/21	PASS	Additional smoothness can improve rates, but uniform approximability of continuous functions does not require differentiability.
exr:ii21-08	II/21	PASS	To disprove an overstrong claim, choose a continuous function with limited smoothness and test the asserted rate rather than the existence theorem.
exr:ii22-01	II/22	PASS	Use recurrence.
exr:ii22-02	II/22	PASS	Use recurrence.
exr:ii22-03	II/22	PASS	Cosine definition.
exr:ii22-04	II/22	PASS	The polynomial space of degree at most n has dimension n+1, so minimax alternation requires n+2 ordered extreme points.
exr:ii22-05	II/22	PASS	They are equally spaced in angle.
exr:ii22-06	II/22	PASS	Compare monic polynomials.
exr:ii22-07	II/22	PASS	Sup norm.
exr:ii22-08	II/22	PASS	No. Minimax minimizes the largest error, whereas least squares minimizes an integrated squared error.
exr:ii23-01	II/23	PASS	Maximum and minimum.
exr:ii23-02	II/23	PASS	$n+2$.
exr:ii23-03	II/23	PASS	Error sign.
exr:ii23-04	II/23	PASS	Error magnitude.
exr:ii23-05	II/23	PASS	Assume a better competitor exists; alternating inequalities force the difference polynomial to have too many sign changes and hence too many zeros.
exr:ii23-06	II/23	PASS	Remez.
exr:ii23-07	II/23	PASS	For polynomials, yes.
exr:ii23-08	II/23	PASS	Sup norm.
exr:ii24-01	II/24	PASS	Linear.
exr:ii24-02	II/24	PASS	Cubic.
exr:ii24-03	II/24	PASS	$2n-1$.
exr:ii24-04	II/24	PASS	Reduce step size.
exr:ii24-05	II/24	PASS	Integrated basis functions.
exr:ii24-06	II/24	PASS	Test the rule on \(x^4\); degree-three exactness does not extend automatically to degree four.
exr:ii24-07	II/24	PASS	Second derivative.
exr:ii24-08	II/24	PASS	Local error estimates.
exr:ii25-01	II/25	PASS	Euclidean algorithm.
exr:ii25-02	II/25	PASS	Finite truncations.
exr:ii25-03	II/25	PASS	Euclidean algorithm.
exr:ii25-04	II/25	PASS	Golden ratio.
exr:ii25-05	II/25	PASS	They grow.
exr:ii25-06	II/25	PASS	Use \(p_nq_{n-1}-p_{n-1}q_n=(-1)^{n-1}\); taking absolute values gives the adjacent-convergent separation.
exr:ii25-07	II/25	PASS	Quadratic irrationals.
exr:ii25-08	II/25	PASS	Use the exact continued-fraction error formula; the neighboring-denominator bound is sharper than a generic order statement.
