chapter_code	dossier_index	dossier_label	dossier_title	origin	source_file	source_block_id	source_selector	source_topic	note
IV/27	12	prob:iv27-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/28	1	prob:iv28-dossier-01	Double periodicity diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-12.tex	T03.SECTION	elliptic function	elliptic functions	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/28	2	prob:iv28-dossier-02	Descent to the torus diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-17.tex	T01.SECTION	elliptic function|zero|pole	elliptic functions zeros poles	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/28	3	prob:iv28-dossier-03	Poles in a period cell diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-12.tex	T03.EXERCISE_CHILDREN	descendant-of(elliptic function)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/28	4	prob:iv28-dossier-04	Residue balance diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-12.tex	T03.THEORY_CHILDREN	descendant-of(elliptic function)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/28	5	prob:iv28-dossier-05	Zero-pole balance diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-17.tex	T01.EXERCISE_CHILDREN	descendant-of(elliptic function|zero|pole)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/28	6	prob:iv28-dossier-06	Abel-type position constraint diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-17.tex	T01.THEORY_CHILDREN	descendant-of(elliptic function|zero|pole)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/28	7	prob:iv28-dossier-07	Constructing elliptic functions diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/28	8	prob:iv28-dossier-08	Even and odd examples diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/28	9	prob:iv28-dossier-09	Residue sum theorem proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/28	10	prob:iv28-dossier-10	Equal zero and pole count proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/28	11	prob:iv28-dossier-11	No single simple pole proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/28	12	prob:iv28-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/29	1	prob:iv29-dossier-01	Regularized lattice sum diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-12.tex	T04.SECTION	Weierstrass|\wp	Weierstrass function	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/29	2	prob:iv29-dossier-02	Normal convergence diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-13.tex	T02.SECTION	elliptic|differential equation	elliptic identities	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/29	3	prob:iv29-dossier-03	Evenness diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-17.tex	T02.SECTION	lattice sum|Weierstrass	lattice sums Weierstrass	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/29	4	prob:iv29-dossier-04	Double periodicity diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-12.tex	T04.EXERCISE_CHILDREN	descendant-of(Weierstrass|\wp)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/29	5	prob:iv29-dossier-05	Pole structure diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-12.tex	T04.THEORY_CHILDREN	descendant-of(Weierstrass|\wp)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/29	6	prob:iv29-dossier-06	Derivative diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-13.tex	T02.EXERCISE_CHILDREN	descendant-of(elliptic|differential equation)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/29	7	prob:iv29-dossier-07	Half-period values diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-13.tex	T02.THEORY_CHILDREN	descendant-of(elliptic|differential equation)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/29	8	prob:iv29-dossier-08	Normal convergence of the Weierstrass series proof dossier	CORPUS_GUIDED	theory-of-algebraic-geometry-17.tex	T02.EXERCISE_CHILDREN	descendant-of(lattice sum|Weierstrass)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/29	9	prob:iv29-dossier-09	Elliptic differential equation proof dossier	CORPUS_GUIDED	theory-of-algebraic-geometry-17.tex	T02.THEORY_CHILDREN	descendant-of(lattice sum|Weierstrass)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/29	10	prob:iv29-dossier-10	Half-period critical points proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/29	11	prob:iv29-dossier-11	Degree-two map to the sphere proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/29	12	prob:iv29-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/30	1	prob:iv30-dossier-01	Translation on the torus diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-13.tex	T01.SECTION	addition formula|Weierstrass	Weierstrass addition	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/30	2	prob:iv30-dossier-02	Need for an addition law diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-17.tex	T03.SECTION	addition formula	addition formulas	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/30	3	prob:iv30-dossier-03	Weierstrass addition formula diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-13.tex	T01.EXERCISE_CHILDREN	descendant-of(addition formula|Weierstrass)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/30	4	prob:iv30-dossier-04	Duplication formula diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-13.tex	T01.THEORY_CHILDREN	descendant-of(addition formula|Weierstrass)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/30	5	prob:iv30-dossier-05	Subtraction formula diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-17.tex	T03.EXERCISE_CHILDREN	descendant-of(addition formula)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/30	6	prob:iv30-dossier-06	Pole comparison proof diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-17.tex	T03.THEORY_CHILDREN	descendant-of(addition formula)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/30	7	prob:iv30-dossier-07	Cubic geometry diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/30	8	prob:iv30-dossier-08	Special values diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/30	9	prob:iv30-dossier-09	Weierstrass addition formula proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/30	10	prob:iv30-dossier-10	Duplication formula proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/30	11	prob:iv30-dossier-11	Chord interpretation proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/30	12	prob:iv30-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/31	1	prob:iv31-dossier-01	Weierstrass cubic diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-19.tex	T01.SECTION	w^2|z^3|elliptic curve	elliptic algebraic curve	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/31	2	prob:iv31-dossier-02	Parametrization diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-19.tex	T01.EXERCISE_CHILDREN	descendant-of(w^2|z^3|elliptic curve)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/31	3	prob:iv31-dossier-03	Point at infinity diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-19.tex	T01.THEORY_CHILDREN	descendant-of(w^2|z^3|elliptic curve)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/31	4	prob:iv31-dossier-04	Injectivity modulo sign and derivative diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/31	5	prob:iv31-dossier-05	Surjectivity diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/31	6	prob:iv31-dossier-06	Biholomorphism diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/31	7	prob:iv31-dossier-07	Group law diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/31	8	prob:iv31-dossier-08	Weierstrass map lies on the cubic proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/31	9	prob:iv31-dossier-09	Extension at the origin proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/31	10	prob:iv31-dossier-10	Torus-cubic biholomorphism proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/31	11	prob:iv31-dossier-11	Compatibility of group laws proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/31	12	prob:iv31-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
