source_file	source_family	source_block_id	block_kind	source_selector	source_topic	destination	precedence	source_exists	disposition	canonical_dossier_label
theory-of-algebraic-geometry-12.tex	ALGEBRAIC_GEOMETRY	T01.SECTION	SECTION_OR_SUBSECTION	Riemann surface	Riemann surfaces	IV/22	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv22-dossier-01
theory-of-algebraic-geometry-12.tex	ALGEBRAIC_GEOMETRY	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Riemann surface)	problem|exercise|solution|worked problem	IV/22	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv22-dossier-04
theory-of-algebraic-geometry-12.tex	ALGEBRAIC_GEOMETRY	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Riemann surface)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/22	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv22-dossier-05
theory-of-algebraic-geometry-15.tex	ALGEBRAIC_GEOMETRY	T02.SECTION	SECTION_OR_SUBSECTION	Riemann surface|covering	Riemann surface covering	IV/22	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv22-dossier-02
theory-of-algebraic-geometry-15.tex	ALGEBRAIC_GEOMETRY	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Riemann surface|covering)	problem|exercise|solution|worked problem	IV/22	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv22-dossier-06
theory-of-algebraic-geometry-15.tex	ALGEBRAIC_GEOMETRY	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Riemann surface|covering)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/22	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv22-dossier-07
theory-of-algebraic-geometry-18.tex	ALGEBRAIC_GEOMETRY	T03.SECTION	SECTION_OR_SUBSECTION	Riemann surface	Riemann surface motivation	IV/22	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv22-dossier-03
theory-of-algebraic-geometry-18.tex	ALGEBRAIC_GEOMETRY	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Riemann surface)	problem|exercise|solution|worked problem	IV/22	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv22-dossier-08
theory-of-algebraic-geometry-18.tex	ALGEBRAIC_GEOMETRY	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Riemann surface)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/22	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv22-dossier-09
theory-of-algebraic-geometry-14.tex	ALGEBRAIC_GEOMETRY	T01.SECTION	SECTION_OR_SUBSECTION	monodromy|covering|analytic continuation	coverings monodromy	IV/23	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv23-dossier-01
theory-of-algebraic-geometry-14.tex	ALGEBRAIC_GEOMETRY	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(monodromy|covering|analytic continuation)	problem|exercise|solution|worked problem	IV/23	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv23-dossier-03
theory-of-algebraic-geometry-14.tex	ALGEBRAIC_GEOMETRY	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(monodromy|covering|analytic continuation)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/23	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv23-dossier-04
theory-of-algebraic-geometry-14.tex	ALGEBRAIC_GEOMETRY	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	IV/23	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
theory-of-algebraic-geometry-15.tex	ALGEBRAIC_GEOMETRY	T01.SECTION	SECTION_OR_SUBSECTION	punctured|covering map|lifting	coverings of punctured domains	IV/23	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv23-dossier-02
theory-of-algebraic-geometry-15.tex	ALGEBRAIC_GEOMETRY	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(punctured|covering map|lifting)	problem|exercise|solution|worked problem	IV/23	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv23-dossier-05
theory-of-algebraic-geometry-15.tex	ALGEBRAIC_GEOMETRY	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(punctured|covering map|lifting)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/23	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv23-dossier-06
theory-of-algebraic-geometry-15.tex	ALGEBRAIC_GEOMETRY	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	IV/23	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
theory-of-algebraic-geometry-14.tex	ALGEBRAIC_GEOMETRY	T02.SECTION	SECTION_OR_SUBSECTION	branched|branch point|ramification	branched coverings	IV/24	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv24-dossier-01
theory-of-algebraic-geometry-14.tex	ALGEBRAIC_GEOMETRY	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(branched|branch point|ramification)	problem|exercise|solution|worked problem	IV/24	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv24-dossier-03
theory-of-algebraic-geometry-14.tex	ALGEBRAIC_GEOMETRY	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(branched|branch point|ramification)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/24	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv24-dossier-04
theory-of-algebraic-geometry-16.tex	ALGEBRAIC_GEOMETRY	T01.SECTION	SECTION_OR_SUBSECTION	w^4|z^4|branched cover|branch point	branched algebraic relation	IV/24	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv24-dossier-02
theory-of-algebraic-geometry-16.tex	ALGEBRAIC_GEOMETRY	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(w^4|z^4|branched cover|branch point)	problem|exercise|solution|worked problem	IV/24	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv24-dossier-05
theory-of-algebraic-geometry-16.tex	ALGEBRAIC_GEOMETRY	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(w^4|z^4|branched cover|branch point)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/24	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv24-dossier-06
theory-of-algebraic-geometry-16.tex	ALGEBRAIC_GEOMETRY	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	IV/24	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
theory-of-algebraic-geometry-16.tex	ALGEBRAIC_GEOMETRY	T02.SECTION	SECTION_OR_SUBSECTION	gluing|charts|Riemann surface	gluing surface	IV/25	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv25-dossier-01
theory-of-algebraic-geometry-16.tex	ALGEBRAIC_GEOMETRY	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(gluing|charts|Riemann surface)	problem|exercise|solution|worked problem	IV/25	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv25-dossier-03
theory-of-algebraic-geometry-16.tex	ALGEBRAIC_GEOMETRY	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(gluing|charts|Riemann surface)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/25	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv25-dossier-04
theory-of-algebraic-geometry-19.tex	ALGEBRAIC_GEOMETRY	T02.SECTION	SECTION_OR_SUBSECTION	Riemann surface|compactification|branch	Riemann surface construction	IV/25	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv25-dossier-02
theory-of-algebraic-geometry-19.tex	ALGEBRAIC_GEOMETRY	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Riemann surface|compactification|branch)	problem|exercise|solution|worked problem	IV/25	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv25-dossier-05
theory-of-algebraic-geometry-19.tex	ALGEBRAIC_GEOMETRY	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Riemann surface|compactification|branch)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/25	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv25-dossier-06
theory-of-algebraic-geometry-16.tex	ALGEBRAIC_GEOMETRY	T03.SECTION	SECTION_OR_SUBSECTION	compactification|genus	compactification genus	IV/26	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv26-dossier-01
theory-of-algebraic-geometry-16.tex	ALGEBRAIC_GEOMETRY	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(compactification|genus)	problem|exercise|solution|worked problem	IV/26	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv26-dossier-02
theory-of-algebraic-geometry-16.tex	ALGEBRAIC_GEOMETRY	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(compactification|genus)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/26	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv26-dossier-03
