source_file	source_path	source_block_id	source_instance	kind	title	destination	source_paired_solution	section_title	source_hash
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-11.tex:visual:009	visual	The annulus example. A cohomology class on the boundary has two integer values, one on each boundary component. The connecting map detects their difference: \(\delta(m,n)=m-n\).	VIII/05	YES	Annulus example and the obstruction map \texorpdfstring{$\delta(m,n)=m-n$	1567c88435727f7eec02388364f1d450c88af82b157f8627fa5924cee91ae7b6
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-11.tex:visual:010	visual	The Bockstein homomorphism for \(\mathbb{RP	VIII/05	YES	The Bockstein homomorphism for \texorpdfstring{$\mathbb{RP	41a19fcae84c6b62e021a221a25fa96e83cc11978472c77889f8f27598649490
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-11.tex:visual:011	visual	Comparison of even and odd real projective spaces. In even dimensions there is no top integral \(\mathbb Z\)-class, so the mod \(2\) action determines the integral action. In odd dimensions, the top integral class is \(\mathbb Z\), and mod \(2\) cannot distinguish \(+1\) from \(-1\).	VIII/05	YES	Even versus odd real projective spaces	a4df9b7d4a7a49578fc9d09cabc2151aa341bdf88ce2b2e84d81e58757f861be
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	T01.SECTION	theory-of-algebraic-topology-11.tex:visual:012	visual	The general quotient \(D^n/S^{n-1	VIII/05	YES	The general quotient \(D^n/S^{n-1	205110832f6ef31a0165bd1d096e61914de190c4cb188c61707cf9e476cf3384
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	T01.SECTION	theory-of-algebraic-topology-11.tex:visual:013	visual	The general quotient \(D^n/S^{n-1	VIII/05	YES	The general quotient \(D^n/S^{n-1	b72d5d6f30078711fb867849f4af593bd449e13d8b8c0579d157f62d8e1ec489
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	T01.SECTION	theory-of-algebraic-topology-11.tex:visual:014	visual	The general quotient \(D^n/S^{n-1	VIII/05	YES	The general quotient \(D^n/S^{n-1	048b54ed51c5e12e18217ff536cfb8431edd132c4a3dbf7ace32a42f3937bd04
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	T01.SECTION	theory-of-algebraic-topology-11.tex:visual:015	visual	Concrete and deeper examples of the quotient \(D^n/S^{n-1	VIII/05	YES	Concrete and deeper examples of the quotient \(D^n/S^{n-1	205110832f6ef31a0165bd1d096e61914de190c4cb188c61707cf9e476cf3384
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	T01.SECTION	theory-of-algebraic-topology-11.tex:visual:016	visual	Concrete and deeper examples of the quotient \(D^n/S^{n-1	VIII/05	YES	Concrete and deeper examples of the quotient \(D^n/S^{n-1	b72d5d6f30078711fb867849f4af593bd449e13d8b8c0579d157f62d8e1ec489
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	T01.SECTION	theory-of-algebraic-topology-11.tex:visual:017	visual	Concrete and deeper examples of the quotient \(D^n/S^{n-1	VIII/05	YES	Concrete and deeper examples of the quotient \(D^n/S^{n-1	048b54ed51c5e12e18217ff536cfb8431edd132c4a3dbf7ace32a42f3937bd04
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-11.tex:visual:018	visual	Example 1. The basic pair \texorpdfstring{\((D^{k+1	VIII/05	YES	Example 1. The basic pair \texorpdfstring{\((D^{k+1	caa04dbcfe4c1b6bd3a2c268fd9645626558bcd1e73292f70d21d2ca2d5302fe
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-11.tex:visual:019	visual	Example 2. A filled triangle and its boundary circle	VIII/05	YES	Example 2. A filled triangle and its boundary circle	bbcbef2540724053f2b4f9576430a6e8da362ff8e4860e4b176b2bf06d0556bb
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-11.tex:visual:020	visual	Example 3. The annulus and the difference of two boundary circles	VIII/05	YES	Example 3. The annulus and the difference of two boundary circles	e4e0d880c57f09a509c74ff1b001567203d8aef46197ed62c538e0e16df66d71
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-11.tex:visual:021	visual	Example 4. The annulus as an obstruction example	VIII/05	YES	Example 4. The annulus as an obstruction example	a54bac774f673e68c164b19b7f85a98e3dc7c7d398f3220592eb45a735306c7f
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	T01.SECTION	theory-of-algebraic-topology-11.tex:visual:022	visual	Example 6. The Bockstein for \texorpdfstring{\(\mathbb{RP	VIII/05	YES	Example 6. The Bockstein for \texorpdfstring{\(\mathbb{RP	fc408cbbd222738b454a7643e561198812e81c076469c1a49c1fa3b61bc5bae7
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	T01.SECTION	theory-of-algebraic-topology-12.tex:visual:001	visual	The chain complex \(0\to \mathbb Z \xrightarrow{\cdot 2	VIII/25	YES	Examples for Problem 11: mod-\(p\) detection	3147b8a92295970d652e5a21a5a9cbbb68840b28b6687aa8aadb49132afe79a9
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	T01.SECTION	theory-of-algebraic-topology-12.tex:visual:002	visual	Prime detection for \(\mathbb Z/6\)-torsion.	VIII/25	YES	Examples for Problem 11: mod-\(p\) detection	c0531a969f3b3768a6b1714a472d5858b3d914831f22b0b75a39db0205ed94c2
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	T01.SECTION	theory-of-algebraic-topology-12.tex:visual:003	visual	A chain map \(f:C_*\to C_*\) given by multiplication by \(2\) in both degrees. On \(H_0(C)\cong \mathbb Z/2\), this map is zero.	VIII/25	YES	Examples for Problem 11: mod-\(p\) detection	f2e2df9193df9170a09ce6eccd831d758778e7d0968cebc19c4fdebaed4aaae0
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:004	visual	Multiplication by \(x\) in \(R=\mathbb C[x]/(x^3)\).	VIII/25	YES	Examples for Problem 12: free resolutions and Tor groups	72d1975159520dc4c74c02351d2397e129acd8e8ab750f5cfb9ca1a1b5e38f19
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:005	visual	The action of \(x\) on \(M_1\), \(M_2\), and \(R\).	VIII/25	YES	Examples for Problem 12: free resolutions and Tor groups	ca3b9d434aa918084eef661645fd5554db615ea26b6d2e213ea802247ec335f9
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:006	visual	The \(2\)-periodic free resolution of \(M_1=R/(x)\).	VIII/25	YES	Examples for Problem 12: free resolutions and Tor groups	4c92cf3b2a90edbcdd723dd5783bdedb03ab53a72aeca89ec8b2367c08c7aab9
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:007	visual	After tensoring with \(M_1\), all differentials are zero.	VIII/25	YES	Examples for Problem 12: free resolutions and Tor groups	422ae19c4e53e338c828a61ad99eeb128ba4452ca898ca9b640108b079eebcec
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:008	visual	After tensoring with \(M_2\), the differentials alternate between multiplication by \(x\) and the zero map.	VIII/25	YES	Examples for Problem 12: free resolutions and Tor groups	91a7e7e48c860d2190c9a220205d98a44d14386a126c60ad0aae76297dfc7a85
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:009	visual	For \(X=D^1\) and \(A=S^0\), the space \(Y\) is the bottom edge together with the two side edges.	VIII/25	YES	Examples for Problem 13: extension from bottom and side wall	4dc269de88c258d26679ca3fed97a4c955dd8c1e8c33955f23759cd820fd19f7
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:010	visual	For \(X=D^2\) and \(A=S^1\), \(Y\) is the bottom disk plus the cylindrical side wall.	VIII/25	YES	Examples for Problem 13: extension from bottom and side wall	043eeeddb722e68df573f2f545930674407faafdffc4f3f12b461e588c60a496
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:011	visual	A filled triangle crossed with \(I\) gives a triangular prism. The space \(Y\) consists of the bottom triangle and the three side faces.	VIII/25	YES	Examples for Problem 13: extension from bottom and side wall	b802746e93f31b9d6e2147e100491b1f684e7ab8296d3733c85c57375f888b03
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:012	visual	A homotopy given on the boundary circle and an initial map on the whole disk extends over the whole disk cylinder.	VIII/25	YES	Examples for Problem 13: extension from bottom and side wall	082665d9b325c1ec0ad7c769a62dd0aa7d93e0b18cb18cc8dadf4ebb0927cce2
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	T01.SECTION	theory-of-algebraic-topology-12.tex:visual:013	visual	Reduction of a chain complex modulo a prime \(p\).	VIII/25	YES	Final diagram summary	e9de60b740d90cbff6e6b32ee69d1a60868c8da46b27893febbbff24c6816f65
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	T01.SECTION	theory-of-algebraic-topology-12.tex:visual:014	visual	The periodic resolution and its tensor products with \(M_1\) and \(M_2\).	VIII/25	YES	Final diagram summary	4a977382790b7f13c1b94bd03668a6310c91da9d2db25f15a0f3fc7f0e7245fd
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	T01.SECTION	theory-of-algebraic-topology-12.tex:visual:015	visual	Schematic picture of \(Y=X\times\{0\	VIII/25	YES	Final diagram summary	4def28167e0ced395b13cf3d3575857b0c396c7d5525ba4e6a38e16f1fdc8f38
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:016	visual	A map \(X\to S^{n+1	VIII/25	YES	Examples for Problem 14	b6efdd7f1b7458b5a8523c1c57229f751b9231166b80ca8e5d696c9a26ab4185
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:017	visual	Collapsing the \(1\)-skeleton of the standard CW structure on \(T^2\) gives a sphere.	VIII/25	YES	Examples for Problem 14	4dd0140ddef9b39e68c08d993c9e5c142f0f918f4b0d78586ef95f00931e3a6b
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:018	visual	A map \(S^1\vee S^2\to S^2\) can be homotoped to kill the \(S^1\)-summand.	VIII/25	YES	Examples for Problem 14	05ef63bec045a61663965d146019bc97ccbc1031864cb971cc9a0d5db073eb7b
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:019	visual	For \(S^2\), the Hurewicz homomorphism \(\pi_2(S^2)\to H_2(S^2)\) is an isomorphism.	VIII/25	YES	Examples for Problem 14	6f0f7be1736244fcb86cf1cdbba2724adb6104f13b1d49f994e4cae56dc1671a
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:020	visual	After collapsing \(Y_n\), each \((n+1)\)-cell becomes a sphere \(S^{n+1	VIII/25	YES	Examples for Problem 14	f88814012da2efc4fcf376244d6a769371cf78767c66a68c44c29d1d8cccb626
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:021	visual	The presentation complex has one vertex, three loops, and three \(2\)-cells attached by the relators.	VIII/25	YES	Examples for Problem 15(a)	339ef89eb2128f553868dae03f84adc822365ae3834c2856869f36d156ae2c55
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:022	visual	Removing a \(3\)-ball from the Poincaré homology sphere gives an acyclic but non-contractible space.	VIII/25	YES	Examples for Problem 15(a)	ed3c69c4e2a2326839de1170504c93f446355176244fc91c96a6a0ed401edf82
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:023	visual	The wedge \(S^1\vee S^2\): a circle and a sphere attached at one basepoint.	VIII/25	YES	Examples for Problem 15(b)	e8d1d8669d620f393248f3805711824745537f281160466bb3edffdd6d50aa99
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:024	visual	The universal cover is an infinite line with a copy of \(S^2\) attached at each integer point.	VIII/25	YES	Examples for Problem 15(b)	883741ddcd534a5ee77284084ffc81d6ab1cfd9c38a73440a269a26243fee9b6
theory-of-algebraic-topology-12.tex	chapters/tex/theory-of-algebraic-topology-12.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-12.tex:visual:025	visual	The map sends \(u\) to \(2u-tu\). Homology sees this as \(2[S^2]-[S^2]=[S^2]\).	VIII/25	YES	Examples for Problem 15(b)	c2810b63a9a269399079a829e183b1460a4383f447bfd230cef722f311f43c1c
theory-of-algebraic-topology-13.tex	chapters/tex/theory-of-algebraic-topology-13.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-13.tex:visual:001	visual	Part IV. A covering of \(T^2\) by three contractible open subsets	VIII/26	YES	Part IV. A covering of \(T^2\) by three contractible open subsets	8608a5862e43b97c06c1c06748d10b759a6ba3b177f44dc2a61e2975bad05da3
theory-of-algebraic-topology-13.tex	chapters/tex/theory-of-algebraic-topology-13.tex	T02.SECTION	theory-of-algebraic-topology-13.tex:visual:002	visual	The diagonal map and the cup product	VIII/27	YES	The diagonal map and the cup product	5e9ac40db68693d49dbfb5776d8d5b24d205f94e91fab4897a5d8fb7a6ca9405
theory-of-algebraic-topology-13.tex	chapters/tex/theory-of-algebraic-topology-13.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-13.tex:visual:003	visual	A geometric picture of a three-set cover of \(T^2\)	VIII/26	YES	A geometric picture of a three-set cover of \(T^2\)	2fc9dd00069ccd5a1c7c430b9318ff5de27bf217d6eca9c9ea2335f3b2448a02
theory-of-algebraic-topology-13.tex	chapters/tex/theory-of-algebraic-topology-13.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-13.tex:visual:004	visual	Problem 6. Maps between closed orientable surfaces of different genus	VIII/26	YES	Problem 6. Maps between closed orientable surfaces of different genus	b3add5b0a40bf951fe4ec4b26acb5be05dfa4d788faaffbb06ed8eaa8deab15b
theory-of-algebraic-topology-13.tex	chapters/tex/theory-of-algebraic-topology-13.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-13.tex:visual:005	visual	The mapping cone \(X_\phi\)	VIII/26	YES	The mapping cone \(X_\phi\)	9178462de1e37469a84875a25b6263abb0c43008b88f4a7358232bdbce4238d1
theory-of-algebraic-topology-13.tex	chapters/tex/theory-of-algebraic-topology-13.tex	T02.SECTION	theory-of-algebraic-topology-13.tex:visual:006	visual	Part (b). Nontriviality for even \(n\)	VIII/27	YES	Part (b). Nontriviality for even \(n\)	410950daf40a601e607b2e4e7d22b231c23c20d99cb5f90b4ca470a0a97e334b
theory-of-algebraic-topology-14.tex	chapters/tex/theory-of-algebraic-topology-14.tex	T01.SECTION	theory-of-algebraic-topology-14.tex:visual:001	visual	"Key geometric diagrams for vector bundles over spheres. The first panel shows the clutching construction over \(S^n\); the second compares the trivial line bundle over \(S^1\) with the M\""obius line bundle; the third compares the torus and Klein bottle as sphere bundles over \(S^1\); the fourth interprets these examples as mapping tori."	VIII/30	YES	Diagrams and summary charts for Problems 11--12	12c8bf8552afdad3094a6993a92388b32a7331888c5aafa7aa36a142eb52fff0
theory-of-algebraic-topology-14.tex	chapters/tex/theory-of-algebraic-topology-14.tex	T01.SECTION	theory-of-algebraic-topology-14.tex:visual:002	visual	Classification chart and examples for vector bundles over spheres. Rank \(k\) real vector bundles over \(S^n\) are described by clutching maps \(S^{n-1	VIII/30	YES	Diagrams and summary charts for Problems 11--12	425f456548bdf1e744f6f9635779c6b313efbd5f37b0b17475ebabdf53b0cdd6
theory-of-algebraic-topology-14.tex	chapters/tex/theory-of-algebraic-topology-14.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-14.tex:visual:003	visual	Diagram: Direct sum versus product bundle	VIII/30	YES	Diagram: Direct sum versus product bundle	e6128d9f1034e792b088c62170af7c059aaf11c81b120805cdc2c82473453358
theory-of-algebraic-topology-14.tex	chapters/tex/theory-of-algebraic-topology-14.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-14.tex:visual:004	visual	Diagram: \(S(TS^{2	VIII/30	YES	Diagram: \(S(TS^{2	bdb94023d5b5e45ddbbb5b3411622d860c593c28419591bf741bbcda7f8f739f
theory-of-algebraic-topology-14.tex	chapters/tex/theory-of-algebraic-topology-14.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-14.tex:visual:005	visual	Diagram: \(SO(3)\cong \RP^{3	VIII/30	YES	Diagram: \(SO(3)\cong \RP^{3	695b0c3025602974adec9e211913da09cf17cc2b3d56183075a6c40c458d3a4e
theory-of-algebraic-topology-14.tex	chapters/tex/theory-of-algebraic-topology-14.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-14.tex:visual:006	visual	Flow chart: Euler class from the Gysin sequence	VIII/30	YES	Flow chart: Euler class from the Gysin sequence	605b37b68fd67b6c7ceb893c28421cb6e151bd9bd5dd033b46d03e8c2b7579cc
theory-of-algebraic-topology-14.tex	chapters/tex/theory-of-algebraic-topology-14.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-14.tex:visual:007	visual	Diagram: The orthogonal complement \(F^\perp\)	VIII/30	YES	Diagram: The orthogonal complement \(F^\perp\)	e6f0b750a601a76fe57fb7147489fc844a86c9bc6c9ee5e65b4c5168719dd51d
theory-of-algebraic-topology-14.tex	chapters/tex/theory-of-algebraic-topology-14.tex	T01.SECTION	theory-of-algebraic-topology-14.tex:visual:008	visual	Flow chart: Why \(F^\perp\) is a vector bundle	VIII/30	YES	Flow chart: Why \(F^\perp\) is a vector bundle	f08878fe00f41f2952fa9ffef162e1517e3d81a21d5fad9b81808d1b8c8a66da
theory-of-algebraic-topology-15.tex	chapters/tex/theory-of-algebraic-topology-15.tex	T04.SECTION	theory-of-algebraic-topology-15.tex:visual:001	visual	Connected sum: remove one open \(n\)-ball from each manifold and glue the two boundary spheres.	VIII/33	YES	Diagram 1: Construction of the connected sum	590a1486be323b349591099ac3e48f034a88652ace490d0296c189cb036ab327
theory-of-algebraic-topology-15.tex	chapters/tex/theory-of-algebraic-topology-15.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-15.tex:visual:002	visual	Near the gluing sphere, two boundary half-neighborhoods glue to an ordinary \(n\)-dimensional neighborhood.	VIII/31	YES	Diagram 2: Local model near the glued sphere	759da1dee826f7a61892bf21e8744954f4dba897b97bd8c7ab7ac77ad2441a57
theory-of-algebraic-topology-15.tex	chapters/tex/theory-of-algebraic-topology-15.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-15.tex:visual:003	visual	The boundary orientations must be opposite so that the orientations glue correctly across the neck.	VIII/31	YES	Diagram 3: Orientation compatibility	e5528e88f2722129f2594203aa91d71c5cc4021fb2433837b66d38ffccf838cf
theory-of-algebraic-topology-15.tex	chapters/tex/theory-of-algebraic-topology-15.tex	T04.SECTION	theory-of-algebraic-topology-15.tex:visual:004	visual	Mayer--Vietoris cover: \(A\simeq M_1'\), \(B\simeq M_2'\), and \(A\cap B\simeq S^{n-1	VIII/33	YES	Diagram 4: Mayer--Vietoris cover of the connected sum	1e76044a6a9de9776a4e273c3787b9a33b3577167d308b84ddca3ac59789fb2f
theory-of-algebraic-topology-15.tex	chapters/tex/theory-of-algebraic-topology-15.tex	OVR.VIII_29.SECTION	theory-of-algebraic-topology-15.tex:visual:005	visual	The cup product pairing of a connected sum is the orthogonal direct sum of the pairings of the two summands.	VIII/29	YES	Diagram 6: Cup product pairing becomes block diagonal	9894b8830d2f36cd35a6d3b662c2b90dfc2cd08c114805c3057c47a91d1e3ddd
theory-of-algebraic-topology-15.tex	chapters/tex/theory-of-algebraic-topology-15.tex	T04.SECTION	theory-of-algebraic-topology-15.tex:visual:006	visual	For orientable surfaces, connected sum adds handles: \(\Sigma_g\#\Sigma_h\cong \Sigma_{g+h	VIII/33	YES	Diagram 7: Surface connected sums	8109c5e2e49f428a9f5b5559e6b3d166c740a4a4b0986b842fd3125d239319c2
theory-of-algebraic-topology-15.tex	chapters/tex/theory-of-algebraic-topology-15.tex	OVR.VIII_29.SECTION	theory-of-algebraic-topology-15.tex:visual:007	visual	"From Thom classes to the Euler class formula for a direct sum bundle.\\
		\textit{Source: own material."	VIII/29	YES	Figures and Tables for Problems 6--8	3559035c13ae1e476e691c62a07b97c95080abe3e7c7da338f370d050f59039c
theory-of-algebraic-topology-15.tex	chapters/tex/theory-of-algebraic-topology-15.tex	OVR.VIII_29.SECTION	theory-of-algebraic-topology-15.tex:visual:008	visual	"Fiberwise picture behind the Thom class of \(E_1\oplus E_2\).\\
		\textit{Source: own material."	VIII/29	YES	Figures and Tables for Problems 6--8	eaaf32abb253ab987107953ad220d05f3749430264262f50c665a01086d2615f
