chapter_code	source_file	source_block_id	block_kind	source_selector	source_title_or_pattern	action	precedence	legacy_source_exists	canonical_target	disposition
I/07	theory-of-linear-algebra-1.tex	T07.SECTION	SECTION_OR_SUBSECTION	matrix representation|matrix of a linear map	matrix representation	MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch07_matrix_representation_of_linear_maps/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/01	theory-of-linear-algebra-1.tex	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(vector|linear combination|vector space)	problem|exercise|solution|worked problem	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/01	theory-of-linear-algebra-1.tex	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(vector|linear combination|vector space)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/02	theory-of-linear-algebra-1.tex	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(subspace|span|linear independence)	problem|exercise|solution|worked problem	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch02_subspaces_span_and_linear_independence/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/02	theory-of-linear-algebra-1.tex	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(subspace|span|linear independence)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch02_subspaces_span_and_linear_independence/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/03	theory-of-linear-algebra-1.tex	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(basis|bases|dimension)	problem|exercise|solution|worked problem	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch03_bases_and_dimension/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/03	theory-of-linear-algebra-1.tex	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(basis|bases|dimension)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch03_bases_and_dimension/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/04	theory-of-linear-algebra-1.tex	T04.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(coordinate|change of basis)	problem|exercise|solution|worked problem	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch04_coordinates_and_change_of_basis/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/04	theory-of-linear-algebra-1.tex	T04.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(coordinate|change of basis)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch04_coordinates_and_change_of_basis/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/05	theory-of-linear-algebra-1.tex	T05.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(linear map|linear transformation)	problem|exercise|solution|worked problem	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch05_linear_transformations/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/05	theory-of-linear-algebra-1.tex	T05.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(linear map|linear transformation)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch05_linear_transformations/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/06	theory-of-linear-algebra-1.tex	T06.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(kernel|image|isomorphism)	problem|exercise|solution|worked problem	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch06_kernels_images_and_isomorphisms/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/06	theory-of-linear-algebra-1.tex	T06.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(kernel|image|isomorphism)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch06_kernels_images_and_isomorphisms/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/07	theory-of-linear-algebra-1.tex	T07.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(matrix representation|matrix of a linear map)	problem|exercise|solution|worked problem	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch07_matrix_representation_of_linear_maps/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/07	theory-of-linear-algebra-1.tex	T07.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(matrix representation|matrix of a linear map)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch07_matrix_representation_of_linear_maps/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/01	theory-of-linear-algebra-1.tex	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	MIGRATE	10	YES	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/09	theory-of-linear-algebra-2.tex	T01.SECTION	SECTION_OR_SUBSECTION	eigenvalue|eigenvector|characteristic polynomial	eigenvalues and eigenvectors	MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch09_eigenvalues_and_eigenvectors/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/10	theory-of-linear-algebra-2.tex	T02.SECTION	SECTION_OR_SUBSECTION	invariant subspace|triangular	invariant subspaces and triangularization	MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch10_invariant_subspaces_and_triangularization/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/11	theory-of-linear-algebra-2.tex	T03.SECTION	SECTION_OR_SUBSECTION	diagonal|minimal polynomial	diagonalization minimal polynomial	MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch11_diagonalization_and_minimal_polynomials/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/12	theory-of-linear-algebra-2.tex	T04.SECTION	SECTION_OR_SUBSECTION	Jordan|canonical form|rational canonical	canonical forms	MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch12_canonical_forms/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/13	theory-of-linear-algebra-2.tex	T05.SECTION	SECTION_OR_SUBSECTION	inner product|orthogonal complement	inner products	MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch13_inner_products_and_orthogonality/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/14	theory-of-linear-algebra-2.tex	T06.SECTION	SECTION_OR_SUBSECTION	Gram|projection|orthonormal	Gram-Schmidt projections	MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch14_gram_schmidt_and_orthogonal_projection/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/15	theory-of-linear-algebra-2.tex	T07.SECTION	SECTION_OR_SUBSECTION	orthogonal operator|unitary|isometry	orthogonal/unitary operators	MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch15_orthogonal_and_unitary_operators/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/16	theory-of-linear-algebra-2.tex	T08.SECTION	SECTION_OR_SUBSECTION	spectral theorem|self-adjoint|Hermitian	spectral theorem	MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch16_the_spectral_theorem/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/17	theory-of-linear-algebra-2.tex	T09.SECTION	SECTION_OR_SUBSECTION	quadratic form|bilinear form	quadratic forms	MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch17_quadratic_forms/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/18	theory-of-linear-algebra-2.tex	T10.SECTION	SECTION_OR_SUBSECTION	singular value|SVD	singular values	MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch18_singular_value_decomposition/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/09	theory-of-linear-algebra-2.tex	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(eigenvalue|eigenvector|characteristic polynomial)	problem|exercise|solution|worked problem	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch09_eigenvalues_and_eigenvectors/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/09	theory-of-linear-algebra-2.tex	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(eigenvalue|eigenvector|characteristic polynomial)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch09_eigenvalues_and_eigenvectors/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/10	theory-of-linear-algebra-2.tex	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(invariant subspace|triangular)	problem|exercise|solution|worked problem	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch10_invariant_subspaces_and_triangularization/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/10	theory-of-linear-algebra-2.tex	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(invariant subspace|triangular)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch10_invariant_subspaces_and_triangularization/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/11	theory-of-linear-algebra-2.tex	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(diagonal|minimal polynomial)	problem|exercise|solution|worked problem	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch11_diagonalization_and_minimal_polynomials/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/11	theory-of-linear-algebra-2.tex	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(diagonal|minimal polynomial)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch11_diagonalization_and_minimal_polynomials/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/12	theory-of-linear-algebra-2.tex	T04.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Jordan|canonical form|rational canonical)	problem|exercise|solution|worked problem	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch12_canonical_forms/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/12	theory-of-linear-algebra-2.tex	T04.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Jordan|canonical form|rational canonical)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch12_canonical_forms/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/13	theory-of-linear-algebra-2.tex	T05.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(inner product|orthogonal complement)	problem|exercise|solution|worked problem	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch13_inner_products_and_orthogonality/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/13	theory-of-linear-algebra-2.tex	T05.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(inner product|orthogonal complement)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch13_inner_products_and_orthogonality/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/14	theory-of-linear-algebra-2.tex	T06.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Gram|projection|orthonormal)	problem|exercise|solution|worked problem	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch14_gram_schmidt_and_orthogonal_projection/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/14	theory-of-linear-algebra-2.tex	T06.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Gram|projection|orthonormal)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch14_gram_schmidt_and_orthogonal_projection/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/15	theory-of-linear-algebra-2.tex	T07.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(orthogonal operator|unitary|isometry)	problem|exercise|solution|worked problem	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch15_orthogonal_and_unitary_operators/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/15	theory-of-linear-algebra-2.tex	T07.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(orthogonal operator|unitary|isometry)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch15_orthogonal_and_unitary_operators/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/16	theory-of-linear-algebra-2.tex	T08.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(spectral theorem|self-adjoint|Hermitian)	problem|exercise|solution|worked problem	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch16_the_spectral_theorem/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/16	theory-of-linear-algebra-2.tex	T08.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(spectral theorem|self-adjoint|Hermitian)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch16_the_spectral_theorem/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/17	theory-of-linear-algebra-2.tex	T09.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(quadratic form|bilinear form)	problem|exercise|solution|worked problem	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch17_quadratic_forms/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/17	theory-of-linear-algebra-2.tex	T09.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(quadratic form|bilinear form)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch17_quadratic_forms/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/18	theory-of-linear-algebra-2.tex	T10.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(singular value|SVD)	problem|exercise|solution|worked problem	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch18_singular_value_decomposition/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/18	theory-of-linear-algebra-2.tex	T10.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(singular value|SVD)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch18_singular_value_decomposition/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/09	theory-of-linear-algebra-2.tex	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	MIGRATE	10	YES	books/vol01_linear_algebra/chapters/ch09_eigenvalues_and_eigenvectors/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
