chapter_code	source_file	source_block_id	block_kind	source_selector	action	precedence	audit_status	legacy_source_exists	canonical_target	resolution
VI/04	theory-of-differential-geometry-4.tex	T04.SECTION	SECTION_OR_SUBSECTION	regular map|morphism	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch04_morphisms_affine_algebraic_sets/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/04	theory-of-differential-geometry-4.tex	T04.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(regular map|morphism)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch04_morphisms_affine_algebraic_sets/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/04	theory-of-differential-geometry-4.tex	T04.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(regular map|morphism)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch04_morphisms_affine_algebraic_sets/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/05	theory-of-algebraic-geometry-1.tex	T06.SECTION	SECTION_OR_SUBSECTION	connected|clopen|idempotent|product ring	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/05	theory-of-algebraic-geometry-1.tex	T06.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(connected|clopen|idempotent|product ring)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/05	theory-of-algebraic-geometry-1.tex	T06.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(connected|clopen|idempotent|product ring)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/05	theory-of-algebraic-geometry-5.tex	T05.SECTION	SECTION_OR_SUBSECTION	component|connected	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/05	theory-of-algebraic-geometry-5.tex	T05.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(component|connected)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/05	theory-of-algebraic-geometry-5.tex	T05.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(component|connected)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/06	theory-of-commutative-algebra-13.tex	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	MIGRATE	10	COVERED_PENDING_INSTANCE_DIFF	YES	books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/07	theory-of-algebraic-geometry-1.tex	T01.SECTION	SECTION_OR_SUBSECTION	prime ideal|Spec|spectrum	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/07	theory-of-algebraic-geometry-1.tex	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(prime ideal|Spec|spectrum)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/07	theory-of-algebraic-geometry-1.tex	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(prime ideal|Spec|spectrum)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/07	theory-of-algebraic-geometry-1.tex	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	MIGRATE	10	COVERED_PENDING_INSTANCE_DIFF	YES	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/07	theory-of-commutative-algebra-13.tex	T01.SECTION	SECTION_OR_SUBSECTION	Spec|Zariski	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/07	theory-of-commutative-algebra-13.tex	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Spec|Zariski)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/07	theory-of-commutative-algebra-13.tex	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Spec|Zariski)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/08	theory-of-algebraic-geometry-1.tex	T02.SECTION	SECTION_OR_SUBSECTION	basic open|D(f)|distinguished open	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/08	theory-of-algebraic-geometry-1.tex	T03.SECTION	SECTION_OR_SUBSECTION	localization|invert f|A_f	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/08	theory-of-algebraic-geometry-1.tex	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(basic open|D(f)|distinguished open)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/08	theory-of-algebraic-geometry-1.tex	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(basic open|D(f)|distinguished open)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/08	theory-of-algebraic-geometry-1.tex	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(localization|invert f|A_f)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/08	theory-of-algebraic-geometry-1.tex	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(localization|invert f|A_f)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/09	theory-of-algebraic-geometry-1.tex	T04.SECTION	SECTION_OR_SUBSECTION	generic point|closed point|maximal ideal	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/09	theory-of-algebraic-geometry-1.tex	T04.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(generic point|closed point|maximal ideal)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/09	theory-of-algebraic-geometry-1.tex	T04.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(generic point|closed point|maximal ideal)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/09	theory-of-algebraic-geometry-6.tex	T02.SECTION	SECTION_OR_SUBSECTION	generic point	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/09	theory-of-algebraic-geometry-6.tex	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(generic point)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/09	theory-of-algebraic-geometry-6.tex	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(generic point)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/09	theory-of-algebraic-geometry-8.tex	T04.SECTION	SECTION_OR_SUBSECTION	generic point|variety	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/09	theory-of-algebraic-geometry-8.tex	T04.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(generic point|variety)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/09	theory-of-algebraic-geometry-8.tex	T04.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(generic point|variety)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/10	theory-of-algebraic-geometry-1.tex	T05.SECTION	SECTION_OR_SUBSECTION	nilpotent|nilradical|reduced	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/10	theory-of-algebraic-geometry-1.tex	T05.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(nilpotent|nilradical|reduced)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/10	theory-of-algebraic-geometry-1.tex	T05.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(nilpotent|nilradical|reduced)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/10	theory-of-commutative-algebra-13.tex	T03.SECTION	SECTION_OR_SUBSECTION	reduced|nilpotent|nonreduced	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/10	theory-of-commutative-algebra-13.tex	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(reduced|nilpotent|nonreduced)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/10	theory-of-commutative-algebra-13.tex	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(reduced|nilpotent|nonreduced)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/11	theory-of-commutative-algebra-12.tex	T01.SECTION	SECTION_OR_SUBSECTION	residue field|kappa|\kappa	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/11	theory-of-commutative-algebra-12.tex	T02.SECTION	SECTION_OR_SUBSECTION	point of Spec|local ring|prime ideal	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/11	theory-of-commutative-algebra-12.tex	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(residue field|kappa|\kappa)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/11	theory-of-commutative-algebra-12.tex	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(residue field|kappa|\kappa)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/11	theory-of-commutative-algebra-12.tex	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(point of Spec|local ring|prime ideal)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/11	theory-of-commutative-algebra-12.tex	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(point of Spec|local ring|prime ideal)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/11	theory-of-commutative-algebra-12.tex	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	MIGRATE	10	COVERED_PENDING_INSTANCE_DIFF	YES	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/11	theory-of-commutative-algebra-13.tex	T02.SECTION	SECTION_OR_SUBSECTION	local ring|stalk	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/11	theory-of-commutative-algebra-13.tex	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(local ring|stalk)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/11	theory-of-commutative-algebra-13.tex	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(local ring|stalk)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/12	sheaves_notes_reorganized.tex	T01.SECTION	SECTION_OR_SUBSECTION	presheaf	PREFERRED_SOURCE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch12_presheaves/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/12	sheaves_notes_reorganized.tex	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(presheaf)	PREFERRED_SOURCE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch12_presheaves/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/12	sheaves_notes_reorganized.tex	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(presheaf)	PREFERRED_SOURCE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch12_presheaves/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/12	sheaves_notes_reorganized.tex	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	PREFERRED_SOURCE	10	COVERED_PENDING_INSTANCE_DIFF	YES	books/vol06_algebraic_geometry/chapters/ch12_presheaves/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/12	theory-of-algebraic-geometry-1.tex	T07.SECTION	SECTION_OR_SUBSECTION	presheaf|restriction map	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch12_presheaves/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/12	theory-of-algebraic-geometry-1.tex	T07.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(presheaf|restriction map)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch12_presheaves/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/12	theory-of-algebraic-geometry-1.tex	T07.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(presheaf|restriction map)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch12_presheaves/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/12	theory-of-algebraic-geometry-2.tex	T01.SECTION	SECTION_OR_SUBSECTION	presheaf|sheaf	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch12_presheaves/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/12	theory-of-algebraic-geometry-2.tex	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(presheaf|sheaf)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch12_presheaves/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/12	theory-of-algebraic-geometry-2.tex	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(presheaf|sheaf)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch12_presheaves/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/12	theory-of-algebraic-geometry-2.tex	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	MIGRATE	10	COVERED_PENDING_INSTANCE_DIFF	YES	books/vol06_algebraic_geometry/chapters/ch12_presheaves/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/13	sheaves_notes_reorganized.tex	T02.SECTION	SECTION_OR_SUBSECTION	sheaf|stalk|germ	PREFERRED_SOURCE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/13	sheaves_notes_reorganized.tex	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(sheaf|stalk|germ)	PREFERRED_SOURCE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/13	sheaves_notes_reorganized.tex	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(sheaf|stalk|germ)	PREFERRED_SOURCE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/13	theory-of-algebraic-geometry-1.tex	T08.SECTION	SECTION_OR_SUBSECTION	sheaf|stalk|germ	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/13	theory-of-algebraic-geometry-1.tex	T08.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(sheaf|stalk|germ)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/13	theory-of-algebraic-geometry-1.tex	T08.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(sheaf|stalk|germ)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/13	theory-of-algebraic-geometry-2.tex	T02.SECTION	SECTION_OR_SUBSECTION	stalk|germ	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/13	theory-of-algebraic-geometry-2.tex	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(stalk|germ)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/13	theory-of-algebraic-geometry-2.tex	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(stalk|germ)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/14	sheaves_notes_reorganized.tex	T03.SECTION	SECTION_OR_SUBSECTION	sheafification	PREFERRED_SOURCE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch14_sheafification/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/14	sheaves_notes_reorganized.tex	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(sheafification)	PREFERRED_SOURCE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch14_sheafification/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/14	sheaves_notes_reorganized.tex	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(sheafification)	PREFERRED_SOURCE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch14_sheafification/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
